Rank,Top 100,Pick,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"1","","","Dansby Swanson","SS","21.7","6' 1""","190","R","R","Vanderbilt","","55",,"Swanson stood out last year while playing second base for Vandy but has really taken to shortstop this year as expected, with a scorching hot second half of the year, offensively and defensively.","NgkabXF05P8",""
"2","","","Brendan Rodgers","SS","19.2","6' 1""","190","R","R",,"Florida State","55",,"Rodgers has been the top bat in this prep class for over a year, flashing plus bat speed, raw power, instincts and arm strength, but a so-so spring allowed Swanson to barely edge ahead.","8R3NqST3CPs",""
"3","","","Alex Bregman","SS","21.5","5' 11""","185","R","R","LSU","","50",,"Bregman isn't sexy but he makes tons of contact, has some pop, great instincts and the industry is slowly coming around to my opinion that he can stick at shortstop.","8qAAjp8JiJk",""
"4","","","Kyle Tucker","RF","18.7","6' 4""","180","L","R",,"Florida","50",,"Tucker's older brother Preston is in the big leagues with Houston but Kyle is a far better prospect, with his swing compared mechanically to Ted Williams, and Tucker's plus raw power and huge production help, too.","SY6oByTd-yY",""
"5","","","Carson Fulmer","RHS","21.8","5' 11""","205","R","R","Vanderbilt","","50",,"Fulmer turned down close to a million dollars out of high school from the Red Sox, then dominated out of the pen and now in the rotation for Vandy; the delivery isn't pretty but the results are and the stuff is above average to plus.","j1XFJHFKrFY",""
"6","","","Tyler Jay","LHS","21.5","6' 1""","185","L","L","Illinois","","50",,"Jay has only started one game in his college career, but he flashes three plus pitches from the left side and has held his velocity and command in multi-inning relief appearances, so scouts project him to start.","o1A8ua9iS98",""
"7","","","Trenton Clark","LF","19","6' 0""","200","L","L",,"Texas Tech","50",,"Clark is a bit of a tweener defensively and his swing is a little unorthodox, but he's done nothing but hit everywhere he's been. His supporters see a center fielder with plus raw power that's the best pure hitter in the draft.","C7mqZHPntv4",""
"8","","","Dillon Tate","RHS","21.5","6' 1""","185","R","R","Santa Barbara","","50",,"Tate exploded on the scene early this spring, making the first starts of his college career, hitting the high 90's with a wipeout slider, but the feel/delivery still need work and he won't pitch much more this summer, due to increased innings count.","1bjvsyd6yW4",""
"9","","","Andrew Benintendi","CF","21.3","5' 11""","175","L","L","Arkansas","","50",,"Some scouts didn't know Benintendi was eligible for the draft until a month or two into the season, but his ridiculous numbers in the SEC have turned him into a lock top-15 pick.","iK2v5NzhSlM",""
"10","","","Ian Happ","2B","21.2","6' 0""","205","B","R","Cincinnati","","50",,"Happ had a breakout campaign on the Cape after his freshman year and, while he's lost a step since then, he still may be able to play second base and he has one of the most advanced bats in the draft.","pjV0nfydkpU",""
"11","","","Cornelius Randolph","3B","18.4","6' 1""","200","L","R",,"Clemson","50",,"Randolph may be the best of a deep crop in the Georgia prep ranks, showing above average hitting ability, raw power and arm strength with a long track record of hitting.","MZhkG1ceZUg",""
"12","","","Daz Cameron","CF","18.7","6' 0""","185","R","R",,"Florida State","50",,"Cameron is the son of Mike Cameron and has been a famous name for years, though his tools haven't developed into the #1 overall pick some expected; he still projects as a solid starting center fielder.","xvOK3sjOfXw",""
"13","","","Tyler Stephenson","C","19.2","6' 4""","210","R","R",,"Georgia Tech","50",,"Stephenson wasn't seen much over the summer, then exploded this spring, showing improved defensive abilty, more bat speed and huge raw power in front of massive crowds of scouts.","xRPcvNkjzn4",""
"14","","","Jon Harris","RHS","22","6' 4""","190","R","R","Missouri State","","50",,"Harris has progressed nicely this spring after a solid Cape campaign, flashing three above average pitches, feel and projection, though he hasn't quite put it all together yet.","hLuD_A3MpEk",""
"15","","","Garrett Whitley","CF","18.6","6' 1""","200","R","R",,"Wake Forest","45+",,"Whitley popped up later in the summer circuit and is a rare linebacker-looking athlete with at least average power and plus speed that can play center field, but there's some questions about contact.","E8vkYPm2m5s",""
"16","","","Chris Betts","C","18.6","6' 2""","205","L","R",,"Tennessee","45+",,"Betts was a standout early in his high school career with a body that looked like present day Brian McCann, but he's slimmed up, improved as a receiver and still has an impact bat.","EuXEe5ER1v0",""
"17","","","Brady Aiken","LHS","19.2","6' 4""","205","L","L","Cathedral Catholic (CA)","","45+",,"Aiken didn't sign as the #1 overall pick last year of Houston due to a failed physical because of his elbow. His medicals are out now and how teams interpret them will dicate if he goes mid-1st round or slides to the 2nd.","Qo_6vgCOsLw",""
"18","","","Kolby Allard","LHS","18.2","5' 11""","175","L","L",,"UCLA","45+",,"Allard was a top-10 lock before a back injury this spring that he also had earlier in his high school career. He hasn't gotten back on the mound yet, but  it's #2 starter upside if everything works out.","DLShqSt094c",""
"19","","","Kyle Funkhouser","RHS","21.6","6' 3""","225","R","R","Louisville","","45+",,"Funkhouser was a likely top-10 pick in the middle of the spring when his velocity jumped to 93-96, touching 97 mph, but he's fallen apart since, now sitting around 90 mph with no crispness and diminished command. Teams are worried he may be injured, but the Funkhouser camp will not be providing medical information to teams.","-1FJsT1Lpos",""
"20","","","Kevin Newman","SS","22.2","6' 1""","180","R","R","Arizona","","45+",,"Newman isn't especially exciting, as he has a swing that emphasizes contact and allows almost no power, but he's hit everywhere (he won two Cape batting titles), he's a plus runner and he can play shortstop.","3UO8or3lTT8",""
"21","","","James Kaprielian","RHS","21.6","6' 4""","205","R","R","UCLA","","45+",,"Kaprielian had solid average stuff most of his career at UCLA, but some scouts thought his velocity would improve, which it did in the last month or so, allowing him to project as a 3rd/4th starter.","GIHvU81UFJo",""
"22","","","Walker Buehler","RHS","21.2","6' 2""","175","R","R","Vanderbilt","","45+",,"Buehler turned down six or seven figures out of high school and developed well at Vanderbilt, getting into the mid-90's with a hammer curveball in most outings, but his very thin frame worries some scouts.","heZEZSNylCo",""
"23","","","Michael Matuella","RHS","21.4","6' 6""","220","R","R","Duke","","45+",,"Matuella was a candidate to go #1 overall until he got Tommy John surgery earlier this spring. He'll be back around this time next year, but he's 6'6 and athletic with some feel and stuff as good as anyone in the class.","c5tDP5D0hx4",""
"24","","","Ke'Bryan Hayes","3B","18.7","6' 1""","195","R","R",,"Tennessee","45+",,"The son of Charlie Hayes slimmed up and matured physically late in the summer, setting the stage for a big spring performance; Ke'Bryan has everyday third base tools and good feel for the game.","VAR1hcC2Clk",""
"25","","","Mike Nikorak","RHS","19.1","6' 5""","215","R","R",,"Alabama","45",,"Nikorak exploded on the scene out of nowhere last summer, hitting 97 mph with a plus curveball in his first event, but he's been up-and-down this spring, with his velocity dipping into the 80's at times.","RjLe0HKYRXA",""
"26","","","D.J. Stewart","LF","22","6' 0""","230","L","R","Florida State","","45",,"Stewart is a bowling ball-shaped left fielder that hits from an extreme crouch and has just enough power (55) to profile, but he's hit everywhere he's been and always had a good sense of the strike zone, which endears him to analytically-driven teams.","#NAME?",""
"27","","","Bryce Denton","RF","18.2","6' 1""","205","R","R",,"Vanderbilt","45",,"Denton stood out as an advanced bat last summer that fared well against pro-level pitching and he further matured this spring, flashing above average to plus raw power and solid average speed, but not good enough hands to stay in the infield.","ZE60m7Givyw",""
"28","","","Josh Naylor","1B","18.3","6' 0""","225","L","L",,"Texas Tech","45",,"Naylor has a frame and profile reminiscent of Cubs 1B/DH prospect Dan Vogelbach and many scouts were lukewarm on him last summer, but Naylor lost a few pounds and mashed against pro pitchers, getting to his easy plus raw power while player forthe Canadian Junior National team that toured Spring Training.","ZevhZtTLbns",""
"29","","","Nate Kirby","LHS","21.9","6' 2""","185","L","L","Virginia","","45",,"Kirby was a potential top-10 pick early in the spring, showing three above average pitches from the left side, but his command and stuff backed up before a lat injury shelved him. There's a chance he'll return to the mound next week for Super Regionals.","tTq5zKBPZAA",""
"30","","","Nick Plummer","CF","19.2","5' 11""","195","L","L",,"Kentucky","45",,"Plummer popped up at the same event as Whitley late in the summer, with an even louder performance, but his swing has gotten a little stiffer and some scouts think he's a left fielder.","Zo5j59FViMk",""
"31","","","Phil Bickford","RHS","20.3","6' 4""","200","R","R","Fullerton","","45",,"Bickford didn't sign as the 10th overall pick of Toronto two years ago after failing a physical, which teams are still curious about despite the mid-rotation stuff he's shown the last two years.","wZGP-vZLxvU",""
"32","","","Scott Kingery","2B","21.5","5' 11""","175","R","R","Arizona","","45",,"Kingery was a little under the radar entering the spring, but continued to hit, play a solid second base and show off his plus plus speed to where he's a low-risk college bat with positional value.","bOZludIr2lo",""
"33","","","Cody Ponce","RHS","21.5","6' 5""","235","R","R","Cal Poly Pomona","","45",,"The 6'5/235 Ponce jumped on the scene last summer in the Cape when he hit 97 with electric stuff in short stints, but with starter traits in longer stints. He had some shoulder soreness this spring along with more 4th starter type stuff, but there could be more upside.","qeeXfaC-ASk",""
