Rank,Top 100,Pick,Name,Pos,Age,Ht,Wt,B,T,School,College Commit,FV,Risk,Report,Video,playerId
"1","","","Corey Ray","OF","22","5' 11""","185","L","L","Louisville","","60",,"","",""
"2","","","Cal Quantril","RHP","21","6' 3""","195","L","R","Stanford","","55",,"","xNKf2IgKKqY",""
"3","","","Mickey Moniak","OF","18","6' 2""","185","L","R","La Costa Canyon HS (CA)","","55",,"","Q8Q3oaLa-Ds",""
"4","","","Jay Groome","LHP","18","6' 5""","215","L","L","Barnegat HS (NJ)","","55",,"","2KZQaauTk3Y",""
"5","","","Nick Senzel","3B","21","6' 1""","205","R","R","Tennessee","","55",,"","1Jkza_J-9MU",""
"6","","","Riley Pint","RHP","19","6' 4""","195","R","R","St. Thomas Aquinas HS (KS)","","55",,"","SHwmwNMieek",""
"7","","","Delvin Perez","SS","18","6' 3""","170","R","R","Int'l Baseball (PR)","","55",,"","zoyhWdJpeQU",""
"8","","","Kyle Lewis","OF","21","6' 4""","205","R","R","Mercer","","55",,"","nwMhSV87AD0",""
"9","","","Blake Rutherford","OF","19","6' 3""","195","L","R","Chaminade Prep (CA)","","55",,"","",""
"10","","","Ian Anderson","RHP","18","6' 3""","170","R","R","Shenendowa HS (NY)","","55",,"","",""
"11","","","Matt Manning","RHP","18","6' 6""","185","R","R","Sheldon HS (CA)","","55",,"","0FhH_Sv17Dg",""
"12","","","Braxton Garrett","LHP","19","6' 3""","190","L","L","Florence HS (AL)","","55",,"","",""
"13","","","A.J. Puk","LHP","21","6' 7""","230","L","L","Florida","","55",,"","dF78XZniyhY",""
"14","","","Justin Dunn","RHP","21","6' 2""","210","R","R","Boston College","","50",,"","",""
"15","","","Lucas Erceg","3B","21","6' 3""","200","L","R","Menlo","","50",,"","",""
"16","","","Zack Collins","C","21","6' 3""","220","L","R","Miami","","50",,"","fK2DsmC5BT0",""
"17","","","Forrest Whitley","RHP","19","6' 7""","240","R","R","Alamo HS (TX)","","50",,"","V9t2y244Ecw",""
"18","","","Alex Kirilloff","OF","19","6' 2""","195","L","L","Plum HS (PA)","","50",,"","",""
"19","","","Joey Wentz","LHP","19","6' 5""","209","L","L","Shawnee Mission East (MO)","","50",,"","",""
"20","","","Zack Burdi","RHP","21","6' 3""","210","R","R","Louisville","","50",,"","qjlYWTBkyNQ",""
"21","","","Dakota Hudson","RHP","22","6' 5""","215","R","R","Mississippi St.","","50",,"","LUO8ShS6j1Y",""
"22","","","Cole Ragans","LHP","19","6' 3""","190","L","L","North Florida Christian HS","","50",,"","",""
"23","","","Bryan Reynolds","OF","21","","","","","Vanderbilt","","50",,"","8Nr61qxya9M",""
"24","","","Will Benson","OF","18","6' 5""","215","L","L","Westminster Schools (GA)","","45",,"","_oDb1oLoVXU",""
"25","","","Josh Lowe","CF","19","6' 4""","190","L","R","Pope HS (GA)","","45",,"","0xP4kchoVfA",""
"26","","","Dane Dunning","RHP","22","6' 4""","200","R","R","Florida","","45",,"","",""
"27","","","Taylor Trammell","OF","19","6' 2""","195","L","L","Mt. Paran (GA)","","45",,"","",""
"28","","","Daulton Jefferies","RHP","21","6' 0""","180","L","R","Cal","","45",,"","ij14-6H6bPU",""
"29","","","Jordan Sheffield","RHP","21","5' 11""","185","R","R","Vanderbilt","","45",,"","",""
"30","","","Gavin Lux","SS","18","6' 2""","170","L","R","Indian Trail Academy (WI)","","45",,"","",""
"31","","","Nolan Jones","3B","18","6' 3""","195","L","R","Holy Ghost Prep (PA)","","45",,"","M8MOVqKoFgA",""
"32","","","Khalil Lee","OF","18","5' 10""","182","L","L","Flint HS (VA)","","45",,"","OxVsfkvV1MY",""
"33","","","Will Smith","C","21","6' 0""","190","R","R","Louisville","","45",,"","",""
"34","","","Kevin Gowdy","RHP","19","6' 4""","170","R","R","Santa Barbara HS (CA)","","45",,"","Vr9lun60EAw",""
"35","","","Alec Hansen","RHP","22","6' 7""","240","R","R","Oklahoma","","45",,"","VQzZu_90hZk",""
"36","","","Alex Speas","RHP","19","6' 4""","180","R","R","McEachern HS (GA)","","45",,"","ja_dnjJCRDU",""
"37","","","Mitch White","RHP","21","6' 4""","207","R","R","Santa Clara","","45",,"","XlwJUJpdH0",""
"38","","","A.J. Puckett","RHP","21","6' 4""","185","R","R","Pepperdine","","45",,"","",""
"39","","","Kyle Muller","LHP","19","6' 6""","215","R","L","Jesuit Prep (TX)","","45",,"","",""
"40","","","TJ Zeuch","RHP","21","6' 7""","220","R","R","Pittsburgh","","45",,"","",""
"41","","","Cody Sedlock","RHP","21","6' 4""","204","R","R","Illinois","","45",,"","",""
"42","","","Carter Kieboom","3B","19","6' 2""","190","R","R","Walton HS (GA)","","45",,"","bIz5j-OJPrY",""
"43","","","Mason Thompson","RHP","18","6' 6""","190","R","R","Round Rock HS (TX)","","45",,"","",""
"44","","","Chris Okey","C","22","5' 11""","200","R","R","Clemson","","45",,"","0OchJQB5jr4",""
"45","","","Brandon Marsh","OF","19","6' 2""","200","L","R","Buford HS (GA)","","45",,"","f6w57ie4WkA",""
"46","","","Reggie Lawson","RHP","19","6' 4""","205","R","R","Victor Valley HS (CA)","","45",,"","GHRuOX42jYQ",""
"47","","","Matt Thaiss","1B","21","5' 11""","197","L","R","Virginia","","45",,"","",""
"48","","","Keegan Akin","LHP","21","6' 0""","200","L","L","Western Michigan","","45",,"","",""
"49","","","T.J. Friedl","CF","21","5' 10""","170","L","L","Nevada","","45",,"","P3qreU_0HUc",""
"50","","","Ben Rortvedt","C","19","5' 10""","190","L","R","Verona HS (WI)","","45",,"","",""
"51","","","Eric Lauer","LHP","21","6' 3""","210","R","L","Kent State","","45",,"","",""
"52","","","Will Craig","DH","22","6' 3""","235","R","R","Wake Forest","","45",,"","",""
"53","","","Hudson Potts","3B","18","6' 2""","180","R","R","Southlake Carroll (TX)","","45",,"","snj4NTnQVAc",""
"54","","","Ben Bowden","LHP","22","6' 3""","250","L","L","Vanderbilt","","45",,"","IB2b7vh584s",""
"55","","","Thomas Jones","OF","19","6' 4""","195","R","R","Laurens HS (SC)","","45",,"","",""
"56","","","Corbin Burnes","RHP","22","6' 3""","205","R","R","St. Mary's","","40",,"","2hV-kZ5zxdk",""
"57","","","Anfernee Grier","CF","21","","","","","Auburn","","40",,"","_XSW8jw6cZk",""
"58","","","Jon Duplantier","RHP","22","","","","","Rice","","40",,"","",""
"59","","","Bryson Brigman","2B","21","5' 11""","170","R","R","San Diego","","40",,"","NTOq_DZ6Qx4",""
"60","","","Logan Shore","RHP","22","6' 2""","215","R","R","Florida","","40",,"","wKX7dii-6gw",""
"61","","","Mario Feliciano","C","18","6' 1""","200","R","R","Beltran Academy (PR)","","40",,"","08yVCH4kuSg",""
"62","","","Bo Bichette","INF","19","5' 11""","200","R","R","Lakewood HS (FL)","","40",,"","UYda4Od_f9o",""
"63","","","Buddy Reed","CF","21","6' 4""","210","S","R","Florida","","40",,"","SKkOwJl5w0s",""
"64","","","Ronnie Dawson","OF","21","6' 2""","225","L","R","Ohio St","","40",,"","",""
"65","","","Brett Cumberland","C","21","6' 0""","188","S","R","Cal","","40",,"","5G6gKGKiphs",""
"66","","","Jake Rogers","C","21","5' 11""","190","R","R","Tulane","","40",,"","_EbnIg5tN7w",""
"67","","","Dylan Carlson","OF","18","6' 3""","215","S","L","Elk Grove HS (CA)","","40",,"","",""
"68","","","Drew Harrington","LHP","21","6' 1""","225","R","L","Louisville","","40",,"","",""
"69","","","Sheldon Neuse","3B","22","6' 0""","195","R","R","Oklahoma","","40",,"","4WLKeAvMHIU",""
"70","","","Robert Tyler","RHP","21","6' 4""","225","R","R","Georgia","","40",,"","",""
"71","","","Jesus Luzardo","LHP","19","5' 11""","209","L","L","Stoneman Douuglas HS (FL)","","40",,"","",""
"72","","","Jameson Fisher","LF","22","6' 2""","200","L","R","SE LA","","40",,"","",""
"73","","","Peter Alonso","1B","22","6' 2""","225","R","R","Florida","","40",,"","",""
"74","","","Luis Curbelo","3B","19","6' 1""","185","R","R","Cocoa HS (FL)","","40",,"","X15YUBp_3kQ",""
"75","","","Colton Welker","1B/3B","19","6' 0""","205","R","R","Stoneman Douglas HS (FL)","","40",,"","HwGzb87_kgw",""
"76","","","Nolan Martinez","RHP","18","1' 6""","165","R","R","Culver City HS (CA)","","40",,"","",""
"77","","","Austin Franklin","RHP","19","6' 3""","215","R","R","Paxton HS (FL)","","40",,"","",""
"78","","","Matt Krook","LHP","22","","","","","Oregon","","40",,"","eAT6pxRbBck",""
"79","","","Bobby Dalbec","3B","21","6' 4""","225","R","R","Arizona","","40",,"","",""
"80","","","Garrett Hampson","SS","22","5' 11""","175","R","R","Long Beach St","","40",,"","PUVR7A7Mut8",""
"81","","","Heath Quinn","OF","21","","","","","Samford","","40",,"","9FKxrfFZGmA",""
"82","","","Andy Yerzy","C","18","","","","","York Mills, Toronto","","40",,"","9qDBobvHb70",""
"83","","","C.J. Chatham","SS","22","6' 3""","185","R","R","Florida Atlantic","","40",,"","o51fk4q6VrI",""
"84","","","Akil Baddoo","OF","18","5' 11""","185","L","L","Salem HS (GA)","","40",,"","fjWqbosLw",""
"85","","","Kyle Funkhouser","RHP","22","6' 2""","220","R","R","Louisville","","40",,"","j-b1ZwTMYNY",""
"86","","","Nick Hanson","RHP","18","6' 6""","215","R","R","Prior Lake HS (MN)","","40",,"","0AN0Ou-ntbY",""
"87","","","Stephen Alemais","SS","21","6' 0""","190","R","R","Tulane","","40",,"","",""
"88","","","Thomas Hatch","RHP","22","6' 1""","190","R","R","Oklahoma St.","","40",,"","",""
"89","","","Bailey Clark","RHP","22","6' 4""","220","R","R","Duke","","40",,"","",""
"90","","","Zac Gallen","RHP","21","6' 1""","185","R","R","North Carolina","","40",,"","",""
"91","","","Ryan Hendrix","RHP","22","6' 3""","210","R","R","Texas A&M","","40",,"","pKSAWmEnH-A",""
"92","","","Cole Stobbe","SS","19","6' 1""","200","R","R","Millard West HS (NE)","","40",,"","",""
"93","","","Bryse Wilson","RHP","19","6' 1""","224","R","R","Orange HS (NC)","","40",,"","",""
"94","","","Austin Hays","OF","21","6' 0""","205","R","R","Jacksonville","","40",,"","",""
"95","","","Jake Fraley","OF","21","6' 0""","195","L","L","LSU","","40",,"","",""
"96","","","Josh Palacios","OF","21","6' 2""","190","L","R","Auburn","","40",,"","",""
"97","","","JoJo Romero","LHP","20","5' 10""","190","L","L","Yavapai","","40",,"","JN9zStdYzJU",""
"98","","","Chris Rodriguez","RHP","18","6' 1""","185","R","R","Pace HS (FL)","","40",,"","y2Mjz0xvO8o",""
"99","","","Sean Murphy","C","22","6' 3""","215","R","R","Wright State","","40",,"","",""
"100","","","Nonie Williams","SS","18","6' 2""","190","S","R","Home Schooled","","40",,"","",""
