Season,Name,Team,Level,Age,G,PA,AVG,BB%,K%,ISO,BABIP,wRAA,wOBA,wRC+,LD%,GB%,FB%,Pull%,Cent%,Oppo%,SwStr%,Pitches,PlayerId
2014,"Christian Bethancourt","ATL","AAA",22,91,365,0.28279883,0.03561644,0.16712329,0.12536444,0.31785714,-2.571291248649874,0.32000989524217754,93.92512874132092,0.21708185,0.42704626,0.35587189,0.43252595,0.26989619,0.29757785,0.14431239,1178,"10028"
2015,"Christian Bethancourt","ATL","AAA",23,52,218,0.32673267,0.05504587,0.14220183,0.15346535,0.36470588,9.249811560118822,0.37798790654470754,140.2021241981472,0.22988506,0.44252874,0.32758621,0.48275862,0.20114943,0.31609195,0.12100139,719,"10028"
2021,"Christian Bethancourt","PIT","AAA",29,59,234,0.28169014,0.07692308,0.2008547,0.14553991,0.33540373,1.317767840528706,0.34067598265460414,104.34948398016384,0.20731707,0.46341463,0.32926829,0.44311377,0.21556886,0.34131737,0.15995397,869,"10028"
2006,"Tike Redman","DET","AAA",29,79,315,0.25333333,0.04126984,0.11111111,0.07333334,0.28409091,-10.744666940310527,0.27906695463854797,69.42665999387712,,,,,,,,,"1003"
2007,"Tike Redman","BAL","AAA",30,80,336,0.30405405,0.0952381,0.07142857,0.11148649,0.32234432,7.527513558987724,0.35797638291711203,119.35340398474119,0.2247191,0.41573034,0.35955056,0.40143369,0.25806452,0.34050179,0.02368616,1351,"1003"
2008,"Tike Redman","BAL","AAA",31,116,527,0.29157667,0.09108159,0.09487666,0.07775378,0.31884058,1.863424918187968,0.33270921244584456,102.96992163945113,0.22493888,0.53056235,0.24449878,0.39667458,0.25178147,0.35154394,0.03768844,1990,"1003"
2019,"Chris Owings","BOS","AAA",27,44,183,0.32515337,0.08196721,0.27322404,0.26993865,0.40384615,11.323948942537616,0.41011045955039643,145.4499130676444,0.20353982,0.36283186,0.43362832,0.43103448,0.29310345,0.27586207,0.13816689,731,"10030"
2008,"Pokey Reese","WSN","AAA",35,23,79,0.16901408,0.02531646,0.2278481,0.05633803,0.21818182,-8.26367058117055,0.1985606032532531,12.140320977784144,0.14814815,0.53703704,0.31481481,0.38596491,0.33333333,0.28070175,0.0952381,294,"1004"
2013,"Wil Myers","TBR","AAA",22,64,289,0.28571429,0.10034602,0.24567474,0.23412698,0.33526012,13.512532050870675,0.38683840404782033,141.5437951534598,0.21311475,0.40983607,0.37704918,0.51871658,0.21390374,0.26737968,0.13382218,1091,"10047"
2014,"Wil Myers","TBR","AAA",23,7,31,0.25,0.22580645,0.22580645,0.29166667,0.26666667,1.9507504391785782,0.4090081638303296,154.2648604984482,0.47058824,0.17647059,0.35294118,0.58823529,0.23529412,0.17647059,0.09917355,121,"10047"
2017,"Grant Green","CHW","AAA",29,28,101,0.21111111,0.0990099,0.18811881,0.11111111,0.25352113,-3.839209792957672,0.2745140713453293,66.60414992805481,0.20967742,0.5,0.29032258,0.47692308,0.21538462,0.30769231,0.11452514,358,"10053"
2017,"Grant Green","WSN","AAA",29,40,144,0.24615385,0.09722222,0.23611111,0.03846153,0.33333333,-4.4779043992762215,0.28332125312752193,72.6797696336762,0.21276596,0.45744681,0.32978723,0.4375,0.23958333,0.32291667,0.13227513,567,"10053"
2007,"Robin Jennings","WSN","AAA",35,31,112,0.25,0.0625,0.125,0.20192308,0.25287356,0.06558922839838285,0.3302942769868033,100.50589407416972,0.18390805,0.4137931,0.40229885,0.47252747,0.26373626,0.26373626,0.08009709,412,"1006397"
