Season,Name,Team,Level,Age,G,PA,AVG,BB%,K%,ISO,BABIP,wRAA,wOBA,wRC+,LD%,GB%,FB%,Pull%,Cent%,Oppo%,SwStr%,Pitches,PlayerId
2013,"Alfredo Amezaga","LAD","AAA",35,37,141,0.33870968,0.09929078,0.14184397,0.14516129,0.38461538,6.372493310080737,0.3944794067314693,135.996656247766,0.17142857,0.43809524,0.39047619,0.40186916,0.25233645,0.34579439,0.09760589,543,"1"
2012,"Alfredo Amezaga","CHC","AAA",34,113,439,0.27386935,0.08428246,0.13667426,0.09798995,0.30838323,-8.730960237473715,0.3195740516453095,84.96350450404911,0.17168675,0.44277108,0.38554217,0.42690058,0.24269006,0.33040936,0.08520998,1643,"1"
2011,"Alfredo Amezaga","COL","AAA",33,67,277,0.30543933,0.10469314,0.1299639,0.13807531,0.34158416,3.5604854038837797,0.37094127740303096,109.11577727374065,0.13,0.48,0.39,0.49758454,0.22705314,0.27536232,0.06997085,1029,"1"
2006,"Matt Blank","FLA","AAA",30,12,11,0.22222222,0.09090909,0.27272727,0,0.33333333,-0.7677390515054932,0.2553678035736084,44.69763848452111,,,,,,,,,"1001053"
2006,"Chris Clapinski","KCR","AAA",34,19,80,0.17910448,0.1,0.175,0.10447761,0.2037037,-5.445021717913232,0.25744672157825566,46.06975918371845,,,,,,,,,"1002257"
2018,"Christian Bethancourt","MIL","AAA",26,104,418,0.29667519,0.04784689,0.18181818,0.20971867,0.31893688,7.033862919399824,0.3584904144540358,112.88939029799752,0.12893082,0.42767296,0.44339623,0.41744548,0.31464174,0.26791277,0.14206514,1443,"10028"
2017,"Christian Bethancourt","SDP","AAA",25,31,18,0.27777778,0,0.33333333,0.22222222,0.36363636,-0.17541097928894422,0.3286649220519596,92.59879217636373,0.08333333,0.58333333,0.33333333,0.33333333,0.25,0.41666667,0.24561404,57,"10028"
2009,"Tike Redman","MIL","AAA",32,15,65,0.25454545,0.12307692,0.12307692,0.01818182,0.29166667,-2.6890085733455926,0.2888686666412959,67.33621069138064,0.2173913,0.47826087,0.30434783,0.54166667,0.125,0.33333333,0.03745318,267,"1003"
2021,"Chris Owings","COL","AAA",29,5,19,0.16666667,0.05263158,0.31578947,0.27777777,0.18181818,-1.621450287344545,0.26185273183019536,43.19621345969215,0.08333333,0.16666667,0.75,0.33333333,0.16666667,0.5,0.1641791,67,"10030"
2013,"Chris Owings","ARI","AAA",21,125,575,0.32967033,0.03826087,0.17217391,0.15201465,0.3862069,15.297449550859483,0.37210678813327597,121.18961520285049,0.2235023,0.47926267,0.29723502,0.38169643,0.27455357,0.34375,0.099182,1956,"10030"
2014,"Chris Owings","ARI","AAA",22,10,40,0.25,0,0.225,0.025,0.32258065,-3.6318533026619813,0.23609002083539962,30.60313078995162,0.25806452,0.4516129,0.29032258,0.38709677,0.19354839,0.41935484,0.10833333,120,"10030"
2016,"Chris Owings","ARI","AAA",24,5,21,0.61111111,0.14285714,0.14285714,0.33333333,0.71428571,6.06046796642803,0.6816921745027814,328.94572096744514,0.6,0.13333333,0.26666667,0.13333333,0.2,0.66666667,0.06329114,79,"10030"
2018,"Chris Owings","ARI","AAA",26,21,92,0.28571429,0.01086957,0.18478261,0.12087912,0.34246575,-2.5606785342215943,0.3060781366151312,78.6802557990751,0.22972973,0.40540541,0.36486486,0.33783784,0.28378378,0.37837838,0.11782477,331,"10030"
2013,"Keyvius Sampson","SDP","AAA",22,7,12,0.18181818,0,0.33333333,0,0.28571429,-1.7305573383749187,0.16654023257168857,-14.862068345186493,0.33333333,0.5,0.16666667,0.14285714,0.14285714,0.71428571,0.11428571,35,"10039"
2017,"Keyvius Sampson","ARI","AAA",26,7,11,0.2,0.09090909,0.45454545,0,0.4,-1.046772437320855,0.22996075586839157,27.726693405561488,0.2,0.8,0,0.2,0,0.8,0.04761905,42,"10039"
2014,"Keyvius Sampson","SDP","AAA",23,23,15,0.07692308,0.06666667,0.4,0,0.14285714,-2.8930833028466165,0.11699022139821734,-47.4148554287811,0.14285714,0.42857143,0.42857143,0.57142857,0,0.42857143,0.1,50,"10039"
2012,"Wil Myers","KCR","AAA",21,99,439,0.30412371,0.10250569,0.22323462,0.25,0.34944238,21.69447791686229,0.39988946587324686,137.36231876120578,0.15625,0.40972222,0.43402778,0.55290102,0.2559727,0.19112628,0.09212828,1715,"10047"
2015,"Wil Myers","SDP","AAA",24,3,15,0.33333333,0,0.13333333,0.2,0.33333333,0.5298085723815253,0.3787856578826904,128.44800098349117,0.15384615,0.46153846,0.38461538,0.23076923,0.23076923,0.53846154,0.03174603,63,"10047"
2018,"Wil Myers","SDP","AAA",27,5,20,0.3,0,0.35,0.3,0.41666667,0.6851712989448778,0.37894692420959475,126.24121400154563,0.23076923,0.38461538,0.38461538,0.53846154,0.23076923,0.23076923,0.19480519,77,"10047"
