Season,Name,Team,Level,Age,G,PA,AVG,BB%,K%,ISO,BABIP,wRAA,wOBA,wRC+,LD%,GB%,FB%,Pull%,Cent%,Oppo%,SwStr%,Pitches,PlayerId
2007,"Robin Jennings","WSN","AA",35,22,85,0.28205128,0.08235294,0.16470588,0.16666667,0.31147541,1.5672849880810034,0.3554485377143411,114.97828147424443,0.1147541,0.40983607,0.47540984,0.46031746,0.19047619,0.34920635,0.20134228,149,"1006397"
2006,"Steve Lomasney","MIN","AA",28,45,152,0.19858156,0.04605263,0.32236842,0.07801418,0.2826087,-9.7511701006055,0.23660444305432554,43.467914327791284,,,,,,,,,"1007717"
2007,"Juan Melo","WSN","AA",30,54,212,0.2393617,0.0754717,0.13207547,0.10638298,0.25786164,-6.127686418076732,0.2969091069755372,76.52024229504558,0.1835443,0.53164557,0.28481013,0.55757576,0.2,0.24242424,0.15820896,335,"1008752"
2008,"Jack Wilson","PIT","AA",30,7,25,0.31578947,0.16,0.08,0,0.35294118,0.9505997739396088,0.38191353529691696,131.15551720310174,0.1875,0.4375,0.375,0.47058824,0.17647059,0.35294118,0.18604651,43,"1017"
2010,"Jose Iglesias","BOS","AA",20,57,236,0.28506787,0.03389831,0.20762712,0.07239819,0.36,-5.180382599943577,0.3026544451713562,82.0177768950514,0.1744186,0.51162791,0.31395349,0.48863636,0.21590909,0.29545455,0.27577938,417,"10231"
2010,"Bryan Morris","PIT","AA",23,9,16,0.15384615,0,0.4375,0.15384616,0.33333333,-1.6961691543000503,0.19815514637873724,13.155418421962997,0.16666667,0.33333333,0.5,0.25,0.375,0.375,0.4516129,31,"10234"
2010,"Brandon Belt","SFG","AA",22,46,201,0.33714286,0.10945274,0.16915423,0.28571428,0.37313433,18.94027885446515,0.4470853742957115,177.19405588329926,0.29370629,0.32867133,0.37762238,0.41958042,0.24475524,0.33566434,0.2173913,368,"10264"
2013,"Francisco Arcia","NYY","AA",23,19,72,0.17647059,0.05555556,0.25,0.10294117,0.20833333,-5.458920845198876,0.232014714843697,35.881009190291884,0.24489796,0.3877551,0.36734694,0.46,0.16,0.38,0.14403292,243,"10286"
2014,"Francisco Arcia","NYY","AA",24,26,104,0.31958763,0.04807692,0.15384615,0.11340206,0.36585366,1.7504780415861745,0.3471929585704437,114.38028715789606,0.23170732,0.45121951,0.31707317,0.45783133,0.22891566,0.31325301,0.07611549,381,"10286"
2015,"Francisco Arcia","NYY","AA",25,70,266,0.24789916,0.07142857,0.12781955,0.07142857,0.27860697,-2.8701713404475377,0.3034193226785371,90.13940295727006,0.16915423,0.48258706,0.34825871,0.52912621,0.22815534,0.24271845,0.06077348,905,"10286"
2019,"Francisco Arcia","NYY","AA",29,8,29,0.19230769,0.06896552,0.13793103,0,0.22727273,-1.7014237465064082,0.23068928924100152,45.77614298831556,0.18181818,0.40909091,0.40909091,0.31818182,0.31818182,0.36363636,0.12621359,103,"10286"
2012,"Eury Perez","WSN","AA",22,82,373,0.2991453,0.01876676,0.14209115,0.04273504,0.35117057,-6.546793628254757,0.3063177137426991,84.72473511642629,0.15517241,0.62413793,0.22068966,0.3496732,0.29411765,0.35620915,0.08860759,1185,"10299"
2012,"Chris Heston","SFG","AA",24,12,24,0.22727273,0.04166667,0.20833333,0.04545454,0.29411765,-1.5348285448198191,0.24697830106901086,44.34328666386724,0.17647059,0.64705882,0.17647059,0.38888889,0.27777778,0.33333333,0.26388889,72,"10302"
2012,"Oswaldo Arcia","MIN","AA",21,69,299,0.32824427,0.09364548,0.20735786,0.22900764,0.39175258,21.39179308742915,0.4202611690399631,162.26513464641948,0.23737374,0.31313131,0.44949495,0.38235294,0.25980392,0.35784314,0.12658228,1027,"10306"
2012,"Zack Wheeler","NYM","AA",22,6,16,0.07692308,0.0625,0.5,0.07692307,0.2,-2.3105678319868055,0.14408039620944432,-25.680433722656836,0.2,0.8,0,0.28571429,0.28571429,0.42857143,0.140625,64,"10310"
2013,"Danny Ortiz","MIN","AA",23,133,521,0.25826446,0.05182342,0.16890595,0.14669422,0.29123711,-4.559868106860578,0.31741511430519426,92.598377431828,0.14871795,0.35384615,0.4974359,0.47880299,0.24189526,0.27930175,0.12124583,1798,"10317"
2014,"Danny Ortiz","MIN","AA",24,49,189,0.32417582,0.02116402,0.17989418,0.17582418,0.37931034,6.789221364168611,0.37146817845232943,130.69038917112445,0.12162162,0.33783784,0.54054054,0.46,0.31333333,0.22666667,0.10319767,688,"10317"
2013,"Danny Santana","MIN","AA",22,131,588,0.29684601,0.04081633,0.15986395,0.0890538,0.35267857,-0.7116326108954336,0.3270187616348267,98.97649282111469,0.14512472,0.52154195,0.33333333,0.41266376,0.25764192,0.32969432,0.10150181,1931,"10322"
2013,"Ramon Cabrera","DET","AA",23,84,362,0.30448718,0.12154696,0.09392265,0.08333333,0.33807829,9.798641498221135,0.3630276709301037,122.89125880996795,0.19855596,0.5198556,0.28158845,0.41637011,0.23131673,0.35231317,0.04896142,1348,"10327"
2014,"Ramon Cabrera","DET","AA",24,107,431,0.27664975,0.07656613,0.08584687,0.08121827,0.29213483,-3.735200725905097,0.3147698407106776,92.59575286931803,0.2056338,0.55492958,0.23943662,0.40443213,0.22160665,0.37396122,0.06423841,1510,"10327"
2012,"Ramon Cabrera","PIT","AA",22,112,428,0.27604167,0.0911215,0.10280374,0.09114583,0.30473373,-0.9571535630103626,0.3259042757904558,98.0537134472995,0.18047337,0.51183432,0.30769231,0.46802326,0.22383721,0.30813953,0.050625,1600,"10327"
2014,"Ramon Cabrera","PIT","AA",24,12,49,0.23913043,0.06122449,0.12244898,0.17391305,0.25641026,-0.5234161863751429,0.3122067974538219,90.87368826240474,0.20512821,0.23076923,0.56410256,0.375,0.2,0.425,0.05524862,181,"10327"
2013,"Slade Heathcott","NYY","AA",22,103,444,0.26065163,0.08108108,0.24099099,0.15037594,0.33566434,2.008791285475634,0.33432101051915775,103.82616965606529,0.12847222,0.5,0.37152778,0.43434343,0.28282828,0.28282828,0.13095995,1573,"10336"
2014,"Slade Heathcott","NYY","AA",23,9,37,0.18181818,0.08108108,0.35135135,0.06060606,0.3,-2.6954748419863614,0.23315303027629852,37.75882407295424,0.21052632,0.52631579,0.26315789,0.5,0.1,0.4,0.13333333,135,"10336"
2017,"Slade Heathcott","SFG","AA",26,93,394,0.26224784,0.09390863,0.22335025,0.17291066,0.31854839,6.38518696179829,0.34827831441148693,113.88256264125849,0.234375,0.421875,0.34375,0.45977011,0.27586207,0.26436782,0.11901505,1462,"10336"
2013,"Gift Ngoepe","PIT","AA",23,72,259,0.17727273,0.10810811,0.31660232,0.10454545,0.26086957,-12.568563644324868,0.26676647522870234,58.9608589711657,0.06766917,0.46616541,0.46616541,0.41258741,0.25874126,0.32867133,0.10271318,1032,"10340"
2014,"Gift Ngoepe","PIT","AA",24,131,499,0.23798627,0.10220441,0.27054108,0.14187643,0.3220339,-2.795505420454722,0.31866620771768617,95.21365473280264,0.09364548,0.51505017,0.39130435,0.47572816,0.2815534,0.24271845,0.11300536,2053,"10340"
2015,"Gift Ngoepe","PIT","AA",25,71,280,0.2601626,0.08571429,0.23571429,0.10162602,0.34463277,1.575662858666141,0.3254035876615204,105.14259462153785,0.15909091,0.46590909,0.375,0.41304348,0.2826087,0.30434783,0.08716026,1067,"10340"
2019,"Gift Ngoepe","PIT","AA",29,14,38,0.1,0.21052632,0.36842105,0,0.1875,-2.5428115441071726,0.21959964225166723,38.15472968795957,0,0.35714286,0.64285714,0.1875,0.4375,0.375,0.15,160,"10340"
2012,"John Ryan Murphy","NYY","AA",21,43,170,0.23129252,0.09411765,0.18823529,0.17687075,0.25862069,-1.269727074902346,0.31921234621721156,93.49974506550696,0.11111111,0.35897436,0.52991453,0.475,0.26666667,0.25833333,0.09797297,592,"10346"
2013,"John Ryan Murphy","NYY","AA",22,49,211,0.26775956,0.11374408,0.15165877,0.15300547,0.29251701,4.100078376671477,0.3533036478928157,116.43319773680292,0.11564626,0.41496599,0.46938776,0.46451613,0.29032258,0.24516129,0.08622909,777,"10346"
2014,"Mike Ohlman","BAL","AA",23,113,454,0.23573201,0.09471366,0.18942731,0.08188586,0.29153605,-12.25970375880746,0.2914519997033398,76.92889722770498,0.19417476,0.45307443,0.35275081,0.47058824,0.22600619,0.30340557,0.07783145,1863,"10347"
2012,"Tommy Joseph","PHI","AA",20,28,114,0.25,0.07894737,0.28070175,0.17,0.33333333,0.8933236121877041,0.33878582452250794,106.81981969396854,0.16176471,0.38235294,0.45588235,0.4,0.3,0.3,0.16317016,429,"10349"
2013,"Tommy Joseph","PHI","AA",21,3,12,0.27272727,0.08333333,0.08333333,0.09090909,0.3,-0.0590796099661096,0.32229066888491315,95.83640238514563,0.1,0.5,0.4,0.7,0.2,0.1,0.02702703,37,"10349"
2014,"Tommy Joseph","PHI","AA",22,21,87,0.28205128,0.05747126,0.14942529,0.26923077,0.27868852,4.556616979590903,0.39238995245133323,144.74736867045712,0.16923077,0.41538462,0.41538462,0.48484848,0.21212121,0.3030303,0.11326861,309,"10349"
2019,"Tommy Joseph","BOS","AA",27,13,55,0.26,0.03636364,0.30909091,0.06,0.38235294,-0.825375447289255,0.28940729227933015,86.13037335805299,0.12121212,0.42424242,0.45454545,0.47058824,0.32352941,0.20588235,0.13861386,202,"10349"
2012,"Tommy Joseph","SFG","AA",20,80,335,0.25986842,0.07462687,0.19104478,0.13157895,0.29957806,-2.6029669226470586,0.31882731629841365,93.2377258590795,0.18181818,0.42561983,0.39256198,0.45528455,0.17479675,0.3699187,0.12087912,1183,"10349"
2012,"Daniel Fields","DET","AA",21,29,122,0.26415094,0.10655738,0.17213115,0.09433963,0.30952381,0.23767139089311393,0.3312557119815076,101.69545398633149,0.28235294,0.41176471,0.30588235,0.5,0.22093023,0.27906977,0.08061002,459,"10390"
2013,"Daniel Fields","DET","AA",22,118,515,0.28446389,0.08737864,0.25242718,0.15098469,0.37383178,11.998744803853187,0.358227638178505,119.70339052292796,0.23853211,0.42201835,0.33944954,0.4186747,0.24698795,0.33433735,0.15231432,1858,"10390"
2014,"Daniel Fields","DET","AA",23,8,35,0.28571429,0.17142857,0.2,0.17857142,0.38095238,2.21907602719763,0.40641222851617,154.16869437576196,0.25,0.35,0.4,0.38095238,0.19047619,0.42857143,0.10810811,148,"10390"
2012,"Wilfredo Tovar","NYM","AA",20,57,217,0.25388601,0.05069124,0.10138249,0.07772021,0.28,-5.875074787563436,0.29413975482789156,76.4374333380968,0.15976331,0.41420118,0.4260355,0.4494382,0.25842697,0.29213483,0.06325707,743,"10416"
2013,"Wilfredo Tovar","NYM","AA",21,133,486,0.26303855,0.06790123,0.10082305,0.0770975,0.28717949,-7.681972560106079,0.30843224313194956,86.63254102577113,0.17105263,0.44736842,0.38157895,0.41057935,0.25188917,0.33753149,0.05074627,1675,"10416"
2014,"Wilfredo Tovar","NYM","AA",22,78,285,0.28235294,0.07368421,0.07719298,0.0627451,0.2991453,-2.3717046201321796,0.3152080195230097,92.89015766416419,0.21304348,0.51304348,0.27391304,0.4556962,0.18565401,0.35864979,0.04979675,984,"10416"
2010,"Adeiny Hechavarria","TOR","AA",21,61,273,0.27272727,0.04395604,0.14652015,0.08695652,0.30697674,-6.582292642855624,0.29996899778352065,80.2481359231178,0.1722488,0.49760766,0.33014354,0.50228311,0.20091324,0.29680365,0.18269231,416,"10459"
2011,"Adeiny Hechavarria","TOR","AA",22,111,502,0.23491379,0.0498008,0.15537849,0.11206897,0.26683938,-19.699449452701536,0.2779752520784255,67.18672464444336,0.16753927,0.47120419,0.36125654,0.42385787,0.22588832,0.35025381,0.19795222,879,"10459"
2013,"Taylor Jordan","WSN","AA",24,4,10,0.25,0.1,0.2,0,0.33333333,-0.3422885832341279,0.28497371408674455,71.05291799530133,0.16666667,0.66666667,0.16666667,0,0.28571429,0.71428571,0.12903226,31,"10466"
