Season,Name,Team,Level,Age,G,PA,AVG,BB%,K%,ISO,BABIP,wRAA,wOBA,wRC+,LD%,GB%,FB%,Pull%,Cent%,Oppo%,SwStr%,Pitches,PlayerId
2010,"Mike Minor","ATL","AA",22,9,17,0,0,0.58823529,0,0,-4.482654406328876,0,-100,0.16666667,0.5,0.33333333,0.14285714,0.28571429,0.57142857,0.18333333,60,"10021"
2006,"Michael Coleman","TBD","AA",30,121,485,0.23908046,0.08453608,0.19175258,0.18850575,0.26605505,6.163739650580902,0.3360984550168117,111.98996130470127,,,,,,,,,"1002429"
2012,"Christian Bethancourt","ATL","AA",20,71,288,0.24253731,0.03819444,0.15625,0.04850747,0.28125,-14.419913247215366,0.2654954052307236,55.675302694376136,0.18018018,0.48648649,0.33333333,0.39130435,0.26521739,0.34347826,0.13536585,820,"10028"
2013,"Christian Bethancourt","ATL","AA",21,90,388,0.27653631,0.04123711,0.14690722,0.15921788,0.29391892,4.8296975068336865,0.33487212938788047,111.67135471300458,0.16776316,0.42434211,0.40789474,0.514377,0.28115016,0.20447284,0.14794304,1264,"10028"
2012,"Chris Owings","ARI","AA",20,69,310,0.26262626,0.03548387,0.22258065,0.11447812,0.32432432,-5.483047096226714,0.3081082755693726,84.3420139775644,0.13777778,0.43555556,0.42666667,0.37280702,0.27192982,0.35526316,0.12557287,1091,"10030"
2015,"Keyvius Sampson","CIN","AA",24,6,11,0,0.18181818,0.36363636,0,0,-1.614690040611527,0.13269741968675094,-31.72431104286648,0,1,0,0.6,0.2,0.2,0.05405405,37,"10039"
2011,"Brooks Raley","CHC","AA",23,20,39,0.13793103,0.1025641,0.28205128,0,0.22222222,-4.284713444325245,0.20002706123120856,10.17274516348438,0,0.92857143,0.07142857,0.16666667,0.25,0.58333333,0.06369427,157,"10061"
2010,"Dustin Ackley","SEA","AA",22,82,350,0.26297578,0.15714286,0.11714286,0.12110726,0.29959514,8.43212965046714,0.36478730934006826,120.18499971404823,0.12809917,0.54545455,0.32644628,0.332,0.224,0.444,0.03159341,1456,"10099"
2006,"Rob Sasser","CHW","AA",31,39,142,0.23333333,0.14084507,0.22535211,0.11666667,0.28735632,0.5329571483929666,0.32395444285701697,103.54094499951516,,,,,,,,,"1011453"
2012,"Donald Lutz","CIN","AA",23,40,165,0.24161074,0.07878788,0.19393939,0.147651,0.27678571,-0.3003327213497393,0.32898847948421134,98.38863351771522,0.26785714,0.375,0.35714286,0.43589744,0.20512821,0.35897436,0.13504823,622,"10154"
2013,"Donald Lutz","CIN","AA",24,65,255,0.24454148,0.0745098,0.21960784,0.17903931,0.29341317,3.193700333697714,0.33497649692444215,111.74321591783834,0.20359281,0.43113772,0.36526946,0.45977011,0.25287356,0.28735632,0.13805104,862,"10154"
2014,"Donald Lutz","CIN","AA",25,23,97,0.35955056,0.07216495,0.17525773,0.3258427,0.39393939,11.512144657704347,0.4802766752739747,203.7067413527032,0.23943662,0.38028169,0.38028169,0.375,0.22222222,0.40277778,0.13770492,305,"10154"
2016,"Donald Lutz","CIN","AA",27,45,161,0.21232877,0.05590062,0.32919255,0.06849315,0.31578947,-7.64270913959332,0.2557779673486948,56.54299653801501,0.2,0.38947368,0.41052632,0.35714286,0.2755102,0.36734694,0.19727891,588,"10154"
2014,"Ryan Weber","ATL","AA",23,21,22,0.11111111,0.04545455,0.31818182,0,0.18181818,-3.241721506256712,0.13493802986646952,-28.758380534569007,0,0.9,0.1,0.46153846,0.38461538,0.15384615,0.06818182,88,"10160"
2011,"Nick Franklin","SEA","AA",20,21,92,0.3253012,0.06521739,0.19565217,0.15662651,0.3968254,3.4683093188842187,0.382803811116165,130.82342879191262,0.27419355,0.46774194,0.25806452,0.44776119,0.31343284,0.23880597,0.12251656,302,"10166"
2012,"Nick Franklin","SEA","AA",21,57,239,0.32195122,0.10041841,0.15899582,0.1804878,0.37804878,13.875531772248651,0.40778322142103446,151.3957672729733,0.19018405,0.42944785,0.3803681,0.43502825,0.24293785,0.3220339,0.15861027,662,"10166"
2018,"Nick Franklin","MIL","AA",27,20,71,0.28813559,0.15492958,0.09859155,0.15254238,0.29411765,3.0559071378479534,0.3764288510595049,137.11027824446097,0.13207547,0.54716981,0.32075472,0.49056604,0.22641509,0.28301887,0.06551724,290,"10166"
2011,"Tyler Skaggs","ARI","AA",19,7,16,0.06666667,0.0625,0.5,0,0.14285714,-3.009381549920051,0.10313895344734192,-53.78296280783059,0.28571429,0.42857143,0.28571429,0.14285714,0.14285714,0.71428571,0.16949153,59,"10190"
2012,"Tyler Skaggs","ARI","AA",20,11,22,0.22222222,0.13636364,0.36363636,0.05555556,0.4,-0.5131121805664814,0.3006915535245623,79.35260519480518,0.1,0.7,0.2,0.18181818,0.09090909,0.72727273,0.1625,80,"10190"
2012,"Billy Hamilton","CIN","AA",21,50,213,0.28571429,0.16901408,0.20187793,0.09714285,0.37121212,6.7675787430736865,0.3731949278528656,128.12738338761096,0.14615385,0.53846154,0.31538462,0.38059701,0.24626866,0.37313433,0.07825086,869,"10199"
2015,"Billy Hamilton","CIN","AA",24,3,14,0.27272727,0.21428571,0.14285714,0,0.33333333,0.291649369296205,0.35728968041283743,118.69400955221961,0.22222222,0.55555556,0.22222222,0.44444444,0.22222222,0.33333333,0.08333333,60,"10199"
2012,"Tucker Barnhart","CIN","AA",21,41,142,0.2,0.07746479,0.15492958,0.09230769,0.22641509,-7.372794362612611,0.263058344523112,54.0358328551116,0.14150943,0.55660377,0.30188679,0.44036697,0.2293578,0.33027523,0.10211946,519,"10200"
2013,"Tucker Barnhart","CIN","AA",22,98,395,0.25958702,0.11392405,0.1443038,0.08849558,0.30035336,2.288641670064229,0.3258113910116083,105.43267554271047,0.22535211,0.43309859,0.3415493,0.45172414,0.2137931,0.33448276,0.08907186,1336,"10200"
2013,"Sean Burroughs","LAD","AA",32,57,195,0.2202381,0.12820513,0.12307692,0.07142857,0.25694444,-2.961827725874564,0.29723750561782997,85.7584176381491,0.18309859,0.55633803,0.26056338,0.4109589,0.19863014,0.39041096,0.06329114,711,"1021"
2013,"Aaron Northcraft","ATL","AA",23,17,34,0.17241379,0.05882353,0.44117647,0.03448276,0.35714286,-2.7353401408829483,0.20836518656822942,24.56628708039791,0.07692308,0.76923077,0.15384615,0.33333333,0.46666667,0.2,0.18382353,136,"10218"
2014,"Aaron Northcraft","ATL","AA",24,9,16,0.14285714,0.0625,0.0625,0,0.15384615,-1.914095632453708,0.17092150449752808,-4.536061581050577,0.07692308,0.76923077,0.15384615,0.21428571,0.35714286,0.42857143,0.01666667,60,"10218"
2013,"Ariel Pena","MIL","AA",24,18,31,0,0,0.51612903,0,0,-7.2373112650471265,0,-100,0,1,0,0.15384615,0.61538462,0.23076923,0.18867925,106,"10240"
2017,"Francisco Arcia","LAA","AA",27,28,95,0.2375,0.09473684,0.17894737,0.0375,0.3015873,-0.8017603816065233,0.30731165218860546,92.09140558815481,0.14754098,0.50819672,0.3442623,0.36507937,0.33333333,0.3015873,0.11076923,325,"10286"
2018,"Francisco Arcia","LAA","AA",28,4,15,0.2,0,0.13333333,0,0.23076923,-1.5885373693710267,0.18337615728378295,8.689949453930167,0.15384615,0.61538462,0.23076923,0.46153846,0.23076923,0.30769231,0.18181818,44,"10286"
2016,"Francisco Arcia","MIA","AA",26,75,284,0.232,0.08802817,0.21126761,0.064,0.3,-5.689246098718132,0.2930032375444297,81.66104008884841,0.19473684,0.5,0.30526316,0.47668394,0.24352332,0.27979275,0.08948339,1084,"10286"
2015,"Adrian Nieto","CHW","AA",25,81,315,0.20703125,0.16507937,0.24444444,0.109375,0.27428571,-1.6584216279633084,0.32232312117853473,95.27552175567415,0.21142857,0.39428571,0.39428571,0.3989071,0.27322404,0.32786885,0.09790732,1338,"10294"
2019,"Adrian Nieto","MIA","AA",29,18,65,0.16949153,0.06153846,0.18461538,0.10169491,0.17391304,-4.634621201748971,0.22069481535563393,35.43455880634204,0.125,0.52083333,0.35416667,0.44897959,0.24489796,0.30612245,0.09663866,238,"10294"
2017,"Adrian Nieto","CIN","AA",27,41,134,0.25,0.06716418,0.29104478,0.13709677,0.34146341,0.06109239577437132,0.3193523852682825,100.42722895113154,0.29761905,0.42857143,0.27380952,0.44186047,0.27906977,0.27906977,0.13688213,526,"10294"
2013,"Marcell Ozuna","MIA","AA",22,10,47,0.33333333,0.06382979,0.19148936,0.47619048,0.31034483,6.750251051142136,0.5135019836218461,234.66512238656253,0.08823529,0.41176471,0.5,0.55882353,0.26470588,0.17647059,0.11309524,168,"10324"
2012,"Scooter Gennett","MIL","AA",22,133,573,0.29268293,0.04886562,0.12390925,0.09193245,0.32826087,-0.6776032914539221,0.32982758621198943,98.9531209627015,0.19298246,0.4627193,0.34429825,0.35531915,0.24893617,0.39574468,0.07244094,1905,"10339"
2016,"Domingo Santana","MIL","AA",23,3,10,0.33333333,0.4,0.1,0.5,0.25,2.084475163685146,0.6029868245124816,290.82490099748424,0,0.4,0.6,0.2,0.2,0.6,0.06122449,49,"10348"
2013,"Carlos Contreras","CIN","AA",22,6,11,0.33333333,0,0.18181818,0,0.42857143,-0.0782414431269396,0.30823516845703125,93.3307464294226,0.16666667,0.66666667,0.16666667,0.55555556,0.22222222,0.22222222,0.14285714,35,"10386"
