Season,Name,Team,Level,Age,G,PA,AVG,BB%,K%,ISO,BABIP,wRAA,wOBA,wRC+,LD%,GB%,FB%,Pull%,Cent%,Oppo%,SwStr%,Pitches,PlayerId
2010,"David Eckstein","SDP","A",35,3,12,0.33333333,0.16666667,0,0.11111111,0.33333333,1.1288749831290645,0.45035184919834137,175.73722165515156,0,0.75,0.25,0.44444444,0,0.55555556,0.06896552,29,"10"
2010,"Chris Owings","ARI","A",18,62,271,0.29803922,0.03321033,0.18450185,0.1490196,0.34975369,3.2262398800612644,0.346788166402441,109.58455891037882,0.13658537,0.42439024,0.43902439,0.46445498,0.24170616,0.29383886,0.29186603,418,"10030"
2010,"Wil Myers","KCR","A",19,68,294,0.2892562,0.16326531,0.18707483,0.2107438,0.33519553,18.98543684774977,0.41317463245521596,151.9897861198188,0.17112299,0.36898396,0.45989305,0.54497354,0.21164021,0.24338624,0.19930676,577,"10047"
2010,"Max Stassi","OAK","A",19,110,465,0.22871046,0.09677419,0.30322581,0.15085158,0.31153846,-4.9443110267480055,0.3183816607003593,91.43953026002977,0.125,0.49621212,0.37878788,0.44485294,0.25735294,0.29779412,0.35326087,920,"10059"
2017,"Jonathan Villar","MIL","A",26,4,15,0.61538462,0.06666667,0.2,0.23076923,0.72727273,3.378726301337005,0.6135445475578308,291.3037065570037,0.18181818,0.54545455,0.27272727,0.09090909,0.36363636,0.54545455,0.21666667,60,"10071"
2011,"Donald Lutz","CIN","A",22,123,506,0.30107527,0.06719368,0.24703557,0.19139785,0.375,24.037910544166788,0.38402187230577506,140.6467518714082,0.18263473,0.45808383,0.35928144,0.42941176,0.24705882,0.32352941,0.34030837,908,"10154"
2009,"Mike Trout","LAA","A",17,5,20,0.26666667,0.2,0.3,0,0.44444444,0.36334822425494673,0.35095848535236557,115.08744967959856,0,0.33333333,0.66666667,0.4,0,0.6,0.3125,48,"10155"
2010,"Mike Trout","LAA","A",18,81,368,0.36217949,0.125,0.14130435,0.16346154,0.41960784,33.07722038849276,0.4450718688440847,172.36456484878317,0.16141732,0.40551181,0.43307087,0.44656489,0.23282443,0.32061069,0.16203704,648,"10155"
2010,"Nick Franklin","SEA","A",19,129,574,0.28070175,0.08710801,0.21428571,0.20467837,0.32791328,19.8973535986292,0.3754739288083265,127.90796644845396,0.18134715,0.34715026,0.47150259,0.47959184,0.24234694,0.27806122,0.29247104,1036,"10166"
2011,"Billy Hamilton","CIN","A",20,135,610,0.27818182,0.0852459,0.21803279,0.08181818,0.35971223,2.20197032733245,0.32644280348673904,103.08859721762505,0.16209476,0.47381546,0.36408978,0.40566038,0.27122642,0.32311321,0.31867145,1114,"10199"
2011,"Tucker Barnhart","CIN","A",20,97,372,0.27300613,0.09946237,0.15860215,0.11349694,0.3197026,4.626327500289451,0.33802077149957177,110.64077063969266,0.19475655,0.47565543,0.32958801,0.46014493,0.26449275,0.27536232,0.21035599,618,"10200"
2010,"Randal Grichuk","LAA","A",18,52,214,0.29207921,0.04205607,0.23364486,0.23762376,0.35616438,8.12585977928324,0.37964194790225164,130.5703433936384,0.15753425,0.44520548,0.39726027,0.52287582,0.16339869,0.31372549,0.36565097,361,"10243"
2011,"Randal Grichuk","LAA","A",19,32,131,0.2295082,0.04580153,0.22137405,0.17213114,0.27956989,-2.184472735299944,0.29983443158273476,85.732266739325,0.12903226,0.40860215,0.46236559,0.50526316,0.22105263,0.27368421,0.32093023,215,"10243"
2011,"Oswaldo Arcia","MIN","A",20,20,81,0.35211268,0.11111111,0.19753086,0.35211267,0.39215686,10.440825977097965,0.49078686590547915,210.28831126915512,0.2037037,0.31481481,0.48148148,0.35087719,0.21052632,0.43859649,0.26666667,150,"10306"
2011,"Danny Ortiz","MIN","A",21,129,514,0.23931624,0.07198444,0.18677043,0.1517094,0.27717391,-4.118501587913037,0.31119745981436653,93.14423745042194,0.11260054,0.41018767,0.4772118,0.46842105,0.25789474,0.27368421,0.30153121,849,"10317"
2012,"Danny Ortiz","MIN","A",22,22,94,0.29885057,0.04255319,0.15957447,0.11494253,0.34285714,1.4223359880916207,0.3437371266924817,112.52775863425155,0.19444444,0.51388889,0.29166667,0.43243243,0.21621622,0.35135135,0.25874126,143,"10317"
2010,"Danny Santana","MIN","A",19,40,144,0.23846154,0.04861111,0.27777778,0.07692308,0.33695652,-5.768793479404721,0.28129073095993257,67.74721168109218,0.15384615,0.53846154,0.30769231,0.49462366,0.21505376,0.29032258,0.42629482,251,"10322"
2011,"Danny Santana","MIN","A",20,104,409,0.24657534,0.06112469,0.2396088,0.1260274,0.31320755,-4.297722301094568,0.3079244256915903,91.00927548782595,0.12977099,0.50381679,0.36641221,0.40357143,0.275,0.32142857,0.37078652,712,"10322"
2010,"Scooter Gennett","MIL","A",20,118,526,0.30912863,0.05893536,0.1730038,0.15352697,0.3626943,15.501301247583084,0.3689271804231864,123.72614492275014,0.18537859,0.41253264,0.40208877,0.38383838,0.20707071,0.40909091,0.23681125,853,"10339"
2015,"Scooter Gennett","MIL","A",25,4,15,0.30769231,0.06666667,0,0.15384615,0.28571429,0.3498586788117483,0.3522020618120829,120.85858609696749,0.15384615,0.23076923,0.61538462,0.14285714,0.35714286,0.5,0,50,"10339"
2016,"Domingo Santana","MIL","A",23,8,28,0.17391304,0.14285714,0.17857143,0.13043479,0.17647059,-0.12273350942756785,0.3101870971066611,95.9671433104356,0.22222222,0.44444444,0.33333333,0.44444444,0.05555556,0.5,0.13888889,108,"10348"
2016,"Daniel Fields","LAD","A",25,5,19,0.22222222,0.05263158,0.31578947,0.16666667,0.27272727,-0.17451831354934616,0.3035732946897808,91.54925349071831,0.33333333,0.33333333,0.33333333,0.66666667,0.25,0.08333333,0.09677419,62,"10390"
2013,"Jon Singleton","HOU","A",21,6,25,0.28571429,0.16,0.2,0.52380952,0.23076923,3.6603931888072787,0.5168590331077576,223.56518785979495,0.13333333,0.4,0.46666667,0.625,0.25,0.125,0.08333333,48,"10441"
2011,"Cheslor Cuthbert","KCR","A",18,81,342,0.26666667,0.10526316,0.19005848,0.13,0.31168831,5.4020747590635585,0.342427058653398,113.51494032959346,0.17446809,0.43404255,0.39148936,0.43514644,0.22594142,0.33891213,0.24673203,612,"10473"
2011,"Rocky Gale","SDP","A",23,26,101,0.26666667,0.05940594,0.22772277,0.06666666,0.33333333,-1.8462848688646312,0.29772954106330873,84.3592712171788,0.23880597,0.3880597,0.37313433,0.42857143,0.18571429,0.38571429,0.27011494,174,"10533"
2011,"Derek Dietrich","TBR","A",21,127,539,0.27708333,0.07050093,0.23747681,0.225,0.33134328,24.370712646746988,0.38101663518307816,138.68647076682348,0.20231214,0.34682081,0.45086705,0.45251397,0.25418994,0.29329609,0.34288639,977,"10542"
2010,"Rico Noel","SDP","A",21,12,52,0.13636364,0.09615385,0.15384615,0.04545454,0.16666667,-3.952018492153112,0.23599321223222292,38.81282658902569,0.14285714,0.62857143,0.22857143,0.41666667,0.16666667,0.41666667,0.15463918,97,"10585"
2011,"Rico Noel","SDP","A",22,94,441,0.25333333,0.08390023,0.17006803,0.09333334,0.30872483,2.202230428675344,0.3282581306559778,104.2727139455938,0.15916955,0.43598616,0.40484429,0.55194805,0.24350649,0.20454545,0.21100917,763,"10585"
