Season,Name,Team,Level,Age,G,PA,AVG,BB%,K%,ISO,BABIP,wRAA,wOBA,wRC+,LD%,GB%,FB%,Pull%,Cent%,Oppo%,SwStr%,Pitches,PlayerId
2010,"Christian Bethancourt","ATL","A",18,108,420,0.25062657,0.03333333,0.14761905,0.0802005,0.28613569,-15.016042291245943,0.27631787454313766,70.16167237273096,0.13030303,0.47272727,0.3969697,0.47521866,0.25072886,0.27405248,0.27666667,600,"10028"
2011,"Christian Bethancourt","ATL","A",19,54,235,0.30316742,0.03404255,0.11489362,0.12669683,0.32307692,0.8880880660635538,0.33519049730706724,103.02208894069797,0.11734694,0.45408163,0.42857143,0.36180905,0.30653266,0.33165829,0.20771513,337,"10028"
2011,"Tomas Telis","TEX","A",20,115,494,0.29718004,0.03643725,0.0708502,0.13232104,0.30071599,4.363550423013395,0.3414720421188448,107.06369794095525,0.18396226,0.5495283,0.26650943,0.48267898,0.21939954,0.29792148,0.16047548,673,"10067"
2010,"Jonathan Villar","PHI","A",19,100,420,0.2722372,0.06190476,0.2452381,0.08625337,0.36940299,-0.8866570235525877,0.31972443455545774,98.2381267814353,0.13307985,0.57794677,0.28897338,0.45357143,0.23214286,0.31428571,0.33688415,751,"10071"
2012,"Francisco Arcia","NYY","A",22,68,256,0.24553571,0.08203125,0.17578125,0.13839286,0.28089888,-1.7774052550909185,0.32404147968517516,94.43757421361254,0.20218579,0.44808743,0.34972678,0.4972973,0.24864865,0.25405405,0.16885246,610,"10286"
2010,"Hector Sanchez","SFG","A",20,89,341,0.27419355,0.08211144,0.14662757,0.11935484,0.31372549,3.1123453090318285,0.33422477397437617,107.61731090684054,0.19047619,0.46428571,0.3452381,0.52692308,0.20384615,0.26923077,0.22920518,541,"10289"
2010,"Adrian Nieto","WSN","A",20,60,203,0.1954023,0.11330049,0.21674877,0.05747126,0.24806202,-8.995926107022715,0.2652700139050508,63.01563833015938,0.12903226,0.54032258,0.33064516,0.39849624,0.26315789,0.33834586,0.27540107,374,"10294"
2011,"Adrian Nieto","WSN","A",21,27,107,0.25510204,0.08411215,0.28971963,0.19387755,0.34375,1.10053834220755,0.34327709396308825,108.22508642073608,0.2,0.49230769,0.30769231,0.52238806,0.26865672,0.20895522,0.35323383,201,"10294"
2012,"Adrian Nieto","WSN","A",22,70,299,0.25680934,0.11705686,0.21404682,0.13618677,0.31413613,2.3674018085315396,0.34271377385062657,106.34334776832387,0.16666667,0.50520833,0.328125,0.46464646,0.23737374,0.2979798,0.22996516,574,"10294"
2010,"Eury Perez","WSN","A",20,131,491,0.29908676,0.04684318,0.15071283,0.08219178,0.35359116,4.927294274923935,0.33539648347712575,108.37520207409396,0.15497076,0.64912281,0.19590643,0.32291667,0.265625,0.41145833,0.23770492,732,"10299"
2011,"Rafael Ortega","COL","A",20,113,519,0.29436326,0.0539499,0.1734104,0.1440501,0.34375,6.5317640817569425,0.34613558493162455,110.06426820989236,0.15926893,0.42558747,0.4151436,0.44472362,0.24874372,0.30653266,0.27647059,850,"10323"
2011,"Marcell Ozuna","FLA","A",20,131,552,0.26612903,0.08333333,0.2192029,0.21572581,0.3079096,12.919014172116341,0.3595820235855439,118.71584184559953,0.17711172,0.39509537,0.42779292,0.46354167,0.234375,0.30208333,0.33532338,1005,"10324"
2010,"Ramon Cabrera","PIT","A",20,90,372,0.26900585,0.05913978,0.11290323,0.07309941,0.30033003,-6.025911906035815,0.3015475940252061,86.48088929712301,0.15306122,0.60884354,0.23809524,0.37337662,0.22402597,0.4025974,0.18566176,544,"10327"
2010,"Rey Fuentes","BOS","A",19,104,414,0.27005348,0.06038647,0.21014493,0.10695187,0.33802817,0.561076692278857,0.3241969647945142,101.13107179511016,0.1294964,0.53956835,0.33093525,0.42857143,0.2414966,0.32993197,0.30057803,692,"10329"
2010,"Slade Heathcott","NYY","A",19,76,351,0.25838926,0.11965812,0.28774929,0.09395973,0.38071066,3.3737166655882866,0.3348500606649547,108.0217620602011,0.17010309,0.41237113,0.41752577,0.37810945,0.27363184,0.34825871,0.3220339,708,"10336"
2011,"Slade Heathcott","NYY","A",20,52,237,0.27142857,0.08016878,0.24050633,0.14761905,0.35333333,2.9312610229289944,0.3458657578015939,109.89065872529537,0.18,0.46,0.36,0.36942675,0.28025478,0.35031847,0.33867277,437,"10336"
2010,"John Ryan Murphy","NYY","A",19,87,374,0.25454545,0.09625668,0.17112299,0.12121213,0.29166667,0.5000508621238127,0.3241734517483545,101.11586296565383,0.14716981,0.38867925,0.46415094,0.4797048,0.2398524,0.2804428,0.22395023,643,"10346"
2011,"John Ryan Murphy","NYY","A",20,63,277,0.296875,0.06859206,0.13718412,0.16015625,0.3271028,5.9698607098865155,0.35727999089420703,117.23469089898057,0.2,0.34883721,0.45116279,0.45,0.26818182,0.28181818,0.21212121,429,"10346"
2010,"Mike Ohlman","BAL","A",19,34,132,0.17431193,0.12121212,0.25757576,0.11009174,0.22368421,-5.138444080865342,0.2722210984963637,67.51177461839904,0.18918919,0.55405405,0.25675676,0.425,0.25,0.325,0.27777778,252,"10347"
2011,"Mike Ohlman","BAL","A",20,105,431,0.224,0.11136891,0.22273782,0.08266667,0.28880866,-11.189936305891328,0.2982248015304176,79.23798913270791,0.17037037,0.49259259,0.33703704,0.38297872,0.25886525,0.35815603,0.24936709,790,"10347"
2012,"Mike Ohlman","BAL","A",21,51,209,0.30409357,0.15789474,0.1291866,0.15204678,0.34246575,10.917686471340316,0.3984012549573725,141.85063648252526,0.2,0.48965517,0.31034483,0.41891892,0.25,0.33108108,0.14814815,378,"10347"
2010,"Domingo Santana","PHI","A",17,49,202,0.18181818,0.14356436,0.37623762,0.11515152,0.30681818,-3.40118998420949,0.30072325674614103,85.94768721830138,0.15116279,0.45348837,0.39534884,0.53846154,0.23076923,0.23076923,0.39956332,458,"10348"
2011,"Domingo Santana","PHI","A",18,96,391,0.26857143,0.06649616,0.30690537,0.16571428,0.39013453,6.666378837425399,0.3516841690564893,113.63428294507214,0.19545455,0.45909091,0.34545455,0.51304348,0.19565217,0.29130435,0.39594595,740,"10348"
2010,"Tommy Joseph","SFG","A",18,117,473,0.23623853,0.05496829,0.24524313,0.16513762,0.28338762,-3.6837387670660124,0.3123996318525569,93.50026022204015,0.17460317,0.31111111,0.51428571,0.46130031,0.2755418,0.26315789,0.34416366,831,"10349"
2010,"Wilfredo Tovar","NYM","A",18,44,173,0.28125,0.04624277,0.06936416,0.0625,0.30405405,-1.2707707444787482,0.312970623286844,93.86959183845876,0.15646259,0.46258503,0.38095238,0.56666667,0.22,0.21333333,0.13537118,229,"10416"
2011,"Wilfredo Tovar","NYM","A",19,131,553,0.25050916,0.079566,0.09584087,0.06720978,0.2731377,-14.953058337625832,0.2968860155680575,78.37660080276277,0.15046296,0.42361111,0.42592593,0.42888889,0.25111111,0.32,0.17668712,815,"10416"
2011,"Mychal Givens","BAL","A",21,57,235,0.1952381,0.04680851,0.14893617,0.03333333,0.23163842,-17.897021230898712,0.23583838614550504,39.097943098060504,0.14117647,0.58235294,0.27647059,0.38121547,0.27071823,0.3480663,0.25581395,344,"10430"
2012,"Mychal Givens","BAL","A",22,100,388,0.24332344,0.10051546,0.12628866,0.06231454,0.27874564,-8.27720723754326,0.30596061620412696,82.90890696085961,0.16666667,0.53191489,0.30141844,0.36271186,0.25762712,0.37966102,0.18209877,648,"10430"
2010,"Jon Singleton","PHI","A",18,104,450,0.28989362,0.13777778,0.16444444,0.18882978,0.32312925,24.607035150501236,0.39300337366993654,145.63678708950692,0.15666667,0.44333333,0.4,0.39285714,0.19155844,0.41558442,0.22399021,817,"10441"
2011,"Enrique Hernandez","HOU","A",19,62,249,0.24651163,0.12449799,0.13253012,0.07906977,0.28333333,-2.834974255418094,0.3163427092680117,90.89523287962787,0.20111732,0.49162011,0.30726257,0.36413043,0.25543478,0.38043478,0.18632075,424,"10472"
2011,"Bryce Brentz","BOS","A",22,40,186,0.35882353,0.07526882,0.18817204,0.28823529,0.40322581,20.07120565520202,0.4646129563290586,186.29379851092528,0.14728682,0.47286822,0.37984496,0.47407407,0.19259259,0.33333333,0.25671642,335,"10607"
2011,"David Freitas","WSN","A",22,123,516,0.28805621,0.15891473,0.16860465,0.1615925,0.33536585,26.464506017985443,0.3942383924734245,141.01409754710716,0.21987952,0.40060241,0.37951807,0.50728863,0.2361516,0.25655977,0.20579421,1001,"10619"
2011,"Corey Dickerson","COL","A",22,106,436,0.28198433,0.08944954,0.22706422,0.34725849,0.29571984,32.757799844614716,0.4238747143197334,160.0824045794768,0.10526316,0.30526316,0.58947368,0.4532872,0.21453287,0.33217993,0.32018561,862,"10762"
2010,"Tyler Saladino","CHW","A",20,47,198,0.30909091,0.11111111,0.22222222,0.13333333,0.40163934,9.5672342874267,0.3847934542243014,140.32640476598056,0.17355372,0.36363636,0.46280992,0.390625,0.296875,0.3125,0.28726287,369,"10807"
2011,"Jurickson Profar","TEX","A",18,115,516,0.28604651,0.12596899,0.12209302,0.20697675,0.3091922,26.930718503179886,0.39536135543988443,141.73662319457057,0.1810585,0.40668524,0.41225627,0.52659574,0.20478723,0.26861702,0.17396061,914,"10815"
2010,"Todd Cunningham","ATL","A",21,65,263,0.25974026,0.05323194,0.11406844,0.07792208,0.29353234,-0.2609184298057962,0.32116825301985175,99.17202486685136,0.12820513,0.56410256,0.30769231,0.43627451,0.21568627,0.34803922,0.19329897,388,"10822"
2011,"Rangel Ravelo","CHW","A",19,43,174,0.31677019,0.06896552,0.1091954,0.05590062,0.35915493,1.8845351014887477,0.34395478545934305,108.66111993362699,0.15328467,0.51094891,0.33576642,0.40140845,0.22535211,0.37323944,0.18577075,253,"10839"
