Season,Name,Team,Level,Age,G,PA,AVG,BB%,K%,ISO,BABIP,wRAA,wOBA,wRC+,LD%,GB%,FB%,Pull%,Cent%,Oppo%,SwStr%,Pitches,PlayerId
2010,"Rocky Gale","SDP","A-",22,43,169,0.29192547,0.04142012,0.17159763,0.0310559,0.35606061,-2.25696670892987,0.3095803013920079,88.53702002398197,0.15625,0.6171875,0.2265625,0.42424242,0.15909091,0.41666667,0.24313725,255,"10533"
2010,"Rico Noel","SDP","A-",21,32,142,0.27678571,0.17605634,0.16901408,0.08035715,0.34482759,6.188960088691713,0.385589100367634,137.41006156417495,0.15116279,0.58139535,0.26744186,0.38202247,0.24719101,0.37078652,0.15808824,272,"10585"
2010,"Zach Walters","ARI","A-",20,69,297,0.30181818,0.05387205,0.1986532,0.13818182,0.36574074,6.702432221639022,0.35753304109735,119.3702429030433,0.19444444,0.38888889,0.41666667,0.42533937,0.21719457,0.35746606,0.21881391,489,"10622"
2010,"Mike Olt","TEX","A-",21,69,310,0.29277567,0.12903226,0.2483871,0.17110266,0.37777778,16.655699174447612,0.3991302582525438,146.11691630639666,0.19889503,0.45303867,0.3480663,0.45789474,0.22631579,0.31578947,0.21864952,622,"10698"
2010,"Arismendy Alcantara","CHC","A-",18,59,235,0.28310502,0.04255319,0.22553191,0.11872146,0.35757576,0.8036157396754885,0.3319727971122183,102.9352132367622,0.10365854,0.59756098,0.29878049,0.4127907,0.30232558,0.28488372,0.27390181,387,"10711"
2010,"Jurickson Profar","TEX","A-",17,63,288,0.25,0.09722222,0.15972222,0.12301587,0.28921569,0.3282627608059209,0.32892940441767377,100.97833640686662,0.09852217,0.58128079,0.32019704,0.46948357,0.24882629,0.28169014,0.17954071,479,"10815"
2010,"Jedd Gyorko","SDP","A-",21,26,115,0.33018868,0.07826087,0.22608696,0.19811321,0.4,8.015029967642663,0.42044598071471506,159.82275304362742,0.13924051,0.43037975,0.43037975,0.375,0.2625,0.3625,0.30143541,209,"10816"
2010,"Jared Hoying","TEX","A-",21,62,267,0.32510288,0.07116105,0.26217228,0.218107,0.41818182,18.756647993521746,0.421185130037172,160.298020065705,0.16568047,0.43195266,0.40236686,0.48571429,0.22285714,0.29142857,0.29149798,494,"10882"
2010,"Ryan Strausborger","TEX","A-",22,64,264,0.25541126,0.08712121,0.22348485,0.09956709,0.33139535,0.5076243229738834,0.32997466703407635,101.6504317952997,0.11176471,0.55882353,0.32941176,0.55428571,0.22285714,0.22285714,0.27861771,463,"10937"
2010,"Adam Duvall","SFG","A-",21,54,218,0.24479167,0.06422018,0.20642202,0.125,0.29861111,-0.14373512658855697,0.32652770999436065,99.4340663631435,0.13380282,0.43661972,0.42957746,0.54966887,0.26490066,0.18543046,0.29508197,366,"10950"
2010,"Tommy Medica","SDP","A-",22,34,131,0.17647059,0.13740458,0.13740458,0.03921568,0.20454545,-4.950759637799746,0.27695868412653607,67.56158458479116,0.125,0.56818182,0.30681818,0.42696629,0.2247191,0.34831461,0.14529915,234,"11147"
2010,"Elliot Soto","CHC","A-",20,48,196,0.27071823,0.04591837,0.15816327,0.06629834,0.32450331,-2.6713613306133204,0.30921378455211207,88.3013526672704,0.10067114,0.52348993,0.37583893,0.38961039,0.27922078,0.33116883,0.20415225,289,"11155"
2010,"Brett Nicholas","TEX","A-",21,51,216,0.24479167,0.09259259,0.22685185,0.09895833,0.30985915,-2.028604650456691,0.3148707619933195,91.93874330101428,0.14285714,0.44285714,0.41428571,0.4137931,0.17931034,0.40689655,0.28277635,389,"11192"
2011,"Brett Nicholas","TEX","A-",22,63,273,0.27678571,0.13919414,0.16483516,0.17410715,0.31460674,12.009700512922622,0.3889591413385728,135.5407630190994,0.16393443,0.48087432,0.35519126,0.34594595,0.27027027,0.38378378,0.2372549,510,"11192"
2010,"Mike Freeman","ARI","A-",22,53,216,0.33333333,0.11111111,0.13425926,0.07407408,0.38271605,9.055702505376367,0.3833735723186422,135.98549498989505,0.14935065,0.64935065,0.2012987,0.39634146,0.18902439,0.41463415,0.17032967,364,"11241"
2011,"Jabari Blash","SEA","A-",21,57,229,0.29230769,0.12227074,0.28384279,0.28205128,0.38333333,18.234695597560876,0.4347979010720002,164.33099258861492,0.17073171,0.43089431,0.39837398,0.46212121,0.22727273,0.31060606,0.2991453,468,"11247"
2010,"Michael Choice","OAK","A-",20,27,121,0.28431373,0.12396694,0.3553719,0.34313725,0.41509434,11.348019944062424,0.45260324825843173,180.49961537619942,0.14035088,0.31578947,0.54385965,0.46666667,0.31666667,0.21666667,0.31226766,269,"11376"
2011,"Willson Contreras","CHC","A-",19,60,239,0.26126126,0.0460251,0.17154812,0.08558559,0.31284916,-4.7488828063092035,0.3068137423971952,83.9472009909135,0.13714286,0.69142857,0.17142857,0.46195652,0.25,0.28804348,0.27717391,368,"11609"
2012,"Willson Contreras","CHC","A-",20,64,266,0.27309237,0.04135338,0.20300752,0.08433735,0.33678756,-2.387474884056696,0.31788373870669673,92.35269248790601,0.1005291,0.64550265,0.25396825,0.52284264,0.17766497,0.29949239,0.27790974,421,"11609"
2012,"Rosell Herrera","COL","A-",19,47,211,0.28350515,0.06635071,0.16113744,0.06701031,0.33540373,-0.8498651877290783,0.32445701123413884,96.56822375202213,0.16233766,0.56493506,0.27272727,0.39506173,0.24074074,0.36419753,0.25149701,334,"11611"
2012,"Carlos Ramirez","TOR","A-",21,42,164,0.24528302,0.02439024,0.27439024,0.14465409,0.33035714,-3.6300915672641367,0.30040092409754093,81.14071987274939,0.16513761,0.49541284,0.33944954,0.43478261,0.22608696,0.33913043,0.35335689,283,"11743"
2011,"Drew Robinson","TEX","A-",19,45,175,0.16326531,0.12571429,0.26285714,0.10204081,0.20588235,-9.943920760321278,0.25928131762267537,54.09322088297851,0.11428571,0.4,0.48571429,0.35514019,0.29906542,0.34579439,0.27034884,344,"11761"
2011,"Hanser Alberto","TEX","A-",18,53,202,0.26737968,0.04455446,0.07425743,0.05347593,0.28735632,-5.350473182640301,0.2983013572384469,78.60077529506765,0.11515152,0.52727273,0.35757576,0.51428571,0.23428571,0.25142857,0.1509434,265,"11902"
2011,"Joe Panik","SFG","A-",20,69,304,0.34074074,0.09210526,0.08223684,0.12592593,0.35390947,16.503189475246035,0.4022019779995868,143.85827225886524,0.2107438,0.51652893,0.27272727,0.48192771,0.21285141,0.30522088,0.13207547,477,"11936"
2011,"Jon Berti","TOR","A-",21,60,249,0.29107981,0.08835341,0.17670683,0.08450704,0.36094675,6.590803388028419,0.3664198272651242,121.38435847657452,0.12195122,0.6097561,0.26829268,0.3908046,0.25287356,0.35632184,0.21140143,421,"12037"
2011,"Jorge Alfaro","TEX","A-",18,45,171,0.3,0.02339181,0.31578947,0.18125,0.42,6.05486398498054,0.3779187402304481,128.60655091801036,0.125,0.57692308,0.29807692,0.4245283,0.25471698,0.32075472,0.44444444,315,"12180"
2011,"Rougned Odor","TEX","A-",17,58,258,0.26180258,0.0503876,0.14341085,0.09012875,0.30102041,-2.525513442347933,0.3197810007440441,92.09162607710857,0.14871795,0.54358974,0.30769231,0.5,0.19191919,0.30808081,0.20526316,380,"12282"
2011,"Cory Spangenberg","SDP","A-",20,25,121,0.38372093,0.25619835,0.12396694,0.15116279,0.44444444,15.764911571774478,0.499963590502739,205.26000484106834,0.24657534,0.43835616,0.31506849,0.35616438,0.20547945,0.43835616,0.13253012,249,"12294"
2011,"Jace Peterson","SDP","A-",21,73,333,0.24275362,0.15015015,0.15915916,0.09057971,0.29017857,0.7431070094281235,0.3352428907697851,101.80286970604699,0.16894977,0.57990868,0.25114155,0.39473684,0.21929825,0.38596491,0.16968699,607,"12325"
2012,"Ryan Rua","TEX","A-",22,74,320,0.29285714,0.090625,0.2,0.13928572,0.35377358,11.262274466931652,0.37656627304898865,129.98661944662334,0.1563981,0.54976303,0.29383886,0.45495495,0.23873874,0.30630631,0.23835125,558,"12409"
2011,"Taylor Featherston","COL","A-",21,49,192,0.23076923,0.08854167,0.19791667,0.1183432,0.28682171,-3.0529506404068547,0.3119191216661575,87.15376770536325,0.22222222,0.45238095,0.32539683,0.53731343,0.21641791,0.24626866,0.27607362,326,"12590"
2011,"Raffy Lopez","CHC","A-",23,54,223,0.31632653,0.0941704,0.12107623,0.13265306,0.33532934,8.818003112784561,0.38323640608572745,131.94644976426608,0.14035088,0.42690058,0.43274854,0.49425287,0.2183908,0.28735632,0.17307692,364,"12606"
2012,"Dillon Thomas","COL","A-",19,24,101,0.21428571,0.13861386,0.25742574,0.03571429,0.31034483,-1.7551289812779227,0.30672112962987164,85.19395574665396,0.10526316,0.66666667,0.22807018,0.29310345,0.25862069,0.44827586,0.26633166,199,"12719"
2012,"Marco Hernandez","CHC","A-",19,67,283,0.28624535,0.03533569,0.12720848,0.13011153,0.31304348,1.3428521225296028,0.33611226633350194,104.04290125207906,0.12608696,0.54782609,0.32608696,0.5,0.20588235,0.29411765,0.21728395,405,"13154"
2012,"Mike Zunino","SEA","A-",21,29,133,0.37272727,0.13533835,0.19548872,0.36363637,0.41333333,20.82529602260507,0.5378354340791702,233.41077954683675,0.19047619,0.44047619,0.36904762,0.44705882,0.23529412,0.31764706,0.21561338,269,"13265"
2012,"Tom Murphy","COL","A-",21,55,236,0.28773585,0.05932203,0.22033898,0.1745283,0.3525641,8.077051571670435,0.37527781979650515,129.16031642244155,0.16352201,0.40880503,0.42767296,0.45731707,0.25609756,0.28658537,0.28433735,415,"13499"
2012,"Ketel Marte","SEA","A-",18,65,269,0.24701195,0.04460967,0.13011152,0.03187251,0.28703704,-12.272356654518273,0.26919648583850936,61.1288788132221,0.14354067,0.67464115,0.18181818,0.31081081,0.24324324,0.44594595,0.20408163,392,"13613"
2012,"Jeimer Candelario","CHC","A-",18,71,310,0.28057554,0.08387097,0.17741935,0.11510791,0.32727273,4.791782494674401,0.3503441874058016,113.17003054395681,0.13242009,0.5890411,0.27853881,0.45575221,0.23451327,0.30973451,0.25142857,525,"13621"
2012,"Chris Taylor","SEA","A-",21,37,165,0.32846715,0.12727273,0.10909091,0.1459854,0.36134454,11.842655205492592,0.42516369675145005,161.15282442564364,0.21848739,0.51260504,0.26890756,0.46721311,0.24590164,0.28688525,0.14878893,289,"13757"
2012,"Ian Parmley","TOR","A-",22,58,264,0.20095694,0.1969697,0.16666667,0.05263158,0.25301205,-2.7684218501931537,0.3158763173882288,91.06530522487589,0.15822785,0.60126582,0.24050633,0.32934132,0.20958084,0.46107784,0.21102662,526,"13821"
2013,"Ian Parmley","TOR","A-",23,66,287,0.25680934,0.08013937,0.21254355,0.02723735,0.33333333,-5.302334777904094,0.30022836087042826,83.41158156506384,0.14659686,0.57591623,0.27748691,0.30348259,0.26865672,0.4278607,0.30769231,494,"13821"
2012,"Matt Duffy","SFG","A-",21,47,216,0.24725275,0.12037037,0.10185185,0.03846154,0.275,-0.7619187659273285,0.3251218158337805,96.99457220518877,0.19871795,0.48717949,0.31410256,0.30434783,0.2173913,0.47826087,0.13372093,344,"13836"
2012,"Trevor Brown","SFG","A-",20,33,139,0.22131148,0.09352518,0.11510791,0.06557377,0.25,-4.777691091145735,0.28414312221001886,70.71436498535742,0.11538462,0.54807692,0.33653846,0.50458716,0.23853211,0.25688073,0.13270142,211,"13895"
2012,"Patrick Kivlehan","SEA","A-",22,72,316,0.30141844,0.06012658,0.2943038,0.20921986,0.41242938,19.058482336862166,0.40993573863035554,151.38692269554986,0.18579235,0.42076503,0.39344262,0.48691099,0.21989529,0.29319372,0.36878216,583,"13910"
2012,"Daniel Vogelbach","CHC","A-",19,37,168,0.32167832,0.13690476,0.20238095,0.28671329,0.36363636,17.54876473616522,0.4685853284276174,188.99972185848867,0.19626168,0.34579439,0.45794393,0.44954128,0.31192661,0.23853211,0.26506024,332,"14130"
2012,"Mac Williamson","SFG","A-",21,29,126,0.34210526,0.04761905,0.15079365,0.25438597,0.35955056,11.521671993386668,0.45129401683807374,177.91056279822075,0.12087912,0.49450549,0.38461538,0.45833333,0.23958333,0.30208333,0.23232323,198,"14158"
2014,"Jose Ruiz","SDP","A-",19,43,160,0.18709677,0.00625,0.225,0.04516129,0.24166667,-16.156128446248154,0.20374473123430456,19.480700172220082,0.09401709,0.70940171,0.1965812,0.27272727,0.20661157,0.52066116,0.41772152,237,"14552"
2014,"Franchy Cordero","SDP","A-",19,61,259,0.27916667,0.05405405,0.28957529,0.17916666,0.37179487,5.615513835228931,0.3609351334868702,117.28910104837217,0.17088608,0.56329114,0.26582278,0.41666667,0.21428571,0.36904762,0.42203742,481,"14567"
2013,"David Bote","CHC","A-",20,69,270,0.25,0.08518519,0.22592593,0.11637931,0.30588235,2.9234760679527887,0.3409408101329097,109.72199766846865,0.15517241,0.52873563,0.31609195,0.58522727,0.15909091,0.25568182,0.27950311,483,"14593"
2014,"David Bote","CHC","A-",21,37,154,0.25954198,0.11688312,0.15584416,0.129771,0.3047619,3.371940965611284,0.36120963953678903,117.45990662802997,0.16037736,0.39622642,0.44339623,0.37962963,0.28703704,0.33333333,0.24908425,273,"14593"
2013,"Pat Valaika","COL","A-",20,42,178,0.23972603,0.12921348,0.18539326,0.15068493,0.29565217,3.396324812834247,0.3524070203989402,117.13203486086144,0.21052632,0.30701754,0.48245614,0.39166667,0.26666667,0.34166667,0.19018405,326,"14885"
2013,"Jack Reinheimer","SEA","A-",20,66,291,0.26907631,0.10996564,0.17525773,0.05622489,0.32828283,2.520379858001636,0.3379306058019711,107.77665343254095,0.17435897,0.51794872,0.30769231,0.46305419,0.16256158,0.37438424,0.2248062,516,"14938"
2014,"Jonathan Davis","TOR","A-",22,27,102,0.21590909,0.05882353,0.25490196,0.17045455,0.29032258,-2.5965260792536338,0.30052628616491955,79.70097435194612,0.17460317,0.47619048,0.34920635,0.51470588,0.16176471,0.32352941,0.32044199,181,"15104"
2014,"Tim Locastro","TOR","A-",21,67,310,0.3125,0.03870968,0.07419355,0.0546875,0.33333333,10.509115915515808,0.37659409632448293,127.03255925306038,0.18103448,0.5,0.31896552,0.51851852,0.23868313,0.24279835,0.1369863,438,"15124"
2013,"Ryan Cordell","TEX","A-",21,64,262,0.24137931,0.08778626,0.20229008,0.11637931,0.29142857,0.516511956116931,0.32863613733878505,101.77010415446166,0.14367816,0.48850575,0.36781609,0.39226519,0.24861878,0.35911602,0.29677419,465,"15181"
2013,"Mike Tauchman","COL","A-",22,64,274,0.29661017,0.12043796,0.20072993,0.08050847,0.38461538,8.928513633280183,0.3711709917029914,129.25824936539857,0.22413793,0.49425287,0.2816092,0.38797814,0.20218579,0.40983607,0.24297189,498,"15274"
2013,"Hunter Renfroe","SDP","A-",21,25,111,0.30769231,0.04504505,0.23423423,0.20192307,0.36842105,5.182431945455465,0.3907650032558957,141.92087729446584,0.1875,0.4,0.4125,0.49382716,0.22222222,0.28395062,0.32275132,189,"15464"
2014,"Franklin Barreto","TOR","A-",18,73,328,0.31141869,0.07926829,0.19512195,0.16955017,0.37837838,16.747168500636228,0.3985828640628663,140.71460458730914,0.22421525,0.37668161,0.39910314,0.5,0.21052632,0.28947368,0.29131175,587,"15519"
2015,"Erick Mejia","SEA","A-",20,36,149,0.28244275,0.10738255,0.14765101,0.05343511,0.33944954,1.233700720988461,0.3376869510631172,106.91487515669691,0.16666667,0.53703704,0.2962963,0.4,0.24545455,0.35454545,0.18217054,258,"15817"
2014,"Ryder Jones","SFG","A-",20,27,117,0.24299065,0.05982906,0.17948718,0.14953271,0.27380952,-1.4769139736012484,0.31697222847363044,89.93411387615146,0.1744186,0.39534884,0.43023256,0.54545455,0.19318182,0.26136364,0.23280423,189,"15982"
2014,"Austin Slater","SFG","A-",21,29,132,0.34745763,0.07575758,0.12878788,0.10169491,0.39393939,7.546743893688107,0.40641802913360014,145.58987022177095,0.15306122,0.64285714,0.20408163,0.3627451,0.21568627,0.42156863,0.20095694,209,"16153"
2014,"Kevin Cron","ARI","A-",21,31,142,0.28682171,0.07042254,0.20422535,0.20155038,0.32291667,4.440826382875862,0.3732275535874333,124.93779928760789,0.21568627,0.32352941,0.46078431,0.47058824,0.21568627,0.31372549,0.31428571,245,"16211"
2014,"Trea Turner","SDP","A-",21,23,105,0.22826087,0.1047619,0.18095238,0.05434783,0.27777778,-2.67005861950862,0.30056089844022477,79.72251110768805,0.07352941,0.54411765,0.38235294,0.45205479,0.2739726,0.2739726,0.21276596,188,"16252"
2015,"Sergio Alcantara","ARI","A-",18,71,287,0.25291829,0.08362369,0.16027875,0.07392996,0.30188679,-4.283306359554891,0.30692190626906,87.53598293935045,0.18095238,0.46190476,0.35714286,0.49308756,0.21198157,0.29493088,0.19189765,469,"16417"
2014,"Christian Arroyo","SFG","A-",19,58,267,0.33333333,0.06741573,0.11610487,0.13580247,0.36018957,11.682351011590239,0.3892220816666022,134.89005586163603,0.18181818,0.5215311,0.29665072,0.41203704,0.26851852,0.31944444,0.17114914,409,"16434"
2014,"Johneshwy Fargas","SFG","A-",19,49,208,0.23952096,0.11538462,0.12980769,0.08982036,0.26811594,2.335591635476514,0.3475395499491224,108.95398270873683,0.10869565,0.63043478,0.26086957,0.52777778,0.1875,0.28472222,0.2034384,349,"16446"
2014,"Isiah Kiner-Falefa","TEX","A-",19,58,248,0.26008969,0.0766129,0.13709677,0.05381166,0.30687831,-4.187925233713668,0.3115082511572334,86.53426963577806,0.18232044,0.56906077,0.24861878,0.36649215,0.19895288,0.43455497,0.17142857,385,"16512"
2014,"Ryan McBroom","TOR","A-",22,70,299,0.2967033,0.04347826,0.17391304,0.2051282,0.3255814,11.160482856386338,0.3809842149283262,129.7642176377029,0.22972973,0.38288288,0.38738739,0.47577093,0.2246696,0.29955947,0.24421053,475,"16524"
2014,"Mark Zagunis","CHC","A-",21,41,191,0.2987013,0.16230366,0.16230366,0.12337662,0.36065574,10.770322703542455,0.40541435417376065,144.9653547207316,0.18181818,0.50413223,0.31404959,0.376,0.248,0.376,0.1456044,364,"16565"
2015,"Kevin Padlo","COL","A-",18,70,308,0.29411765,0.1461039,0.2012987,0.20784313,0.35294118,21.61122825480467,0.41973816358305344,158.59890859043273,0.18134715,0.36787565,0.4507772,0.49238579,0.25380711,0.25380711,0.27850163,614,"16593"
2014,"Jason Vosler","CHC","A-",20,30,109,0.26595745,0.11009174,0.14678899,0.10638298,0.31168831,1.505353365164042,0.3508482012483809,111.01272095229263,0.11842105,0.59210526,0.28947368,0.49367089,0.25316456,0.25316456,0.16022099,181,"16686"
2014,"Jose Trevino","TEX","A-",21,72,319,0.25694444,0.07210031,0.15673981,0.19097223,0.27777778,3.1489089453990253,0.34579970664198295,107.87140203454935,0.18987342,0.45991561,0.35021097,0.62962963,0.16049383,0.20987654,0.21814672,518,"16725"
