Name,Org,Pos,Current Level,FV,K%,BB%,BABIP,ISO,wOBA,wRC+,SwStr%,Strikes,Pitches,playerId
"Michael Perez","TBR","C","MLB","40",0.19784946,0.10322581,0.30392157,0.18248175,0.34795017460341093,105.85757921424764,0.09886364,1081,1760,"12977"
"Tyrone Taylor","MIL","CF","MLB","35+",0.18484501,0.06429392,0.30528053,0.20959596,0.3492256826169197,102.87456914580294,0.09936766,2157,3321,"13675"
"Anthony Alford","TOR","CF","AAA","40",0.27706186,0.08505155,0.34267241,0.13043478,0.3199460977892722,94.06273200633709,0.12508229,1955,3038,"14329"
"Yu Chang","CLE","SS","MLB","45",0.26342072,0.08739076,0.32783505,0.16197183,0.3286974871128648,101.75848785857512,0.11444479,1998,3233,"14773"
"Justin Williams","STL","LF","AAA","40",0.2258567,0.07788162,0.31990521,0.14383562,0.3247743241477274,97.70833691039509,0.11555737,1530,2449,"15490"
"Abiatal Avelino","SFG","2B","AAA","35+",0.18208661,0.05413386,0.32614555,0.15789474,0.3303044703534722,95.8737139748355,0.10949904,2373,3653,"15496"
"Reese McGuire","TOR","C","MLB","40",0.1873065,0.08978328,0.27891156,0.11150443,0.2985210418701172,80.18361088104903,0.08908297,1488,2290,"15674"
"Kean Wong","TBR","2B","AAA","40",0.22222222,0.08134921,0.37142857,0.14048672,0.35065024047045856,113.95156669095273,0.10111801,2493,4025,"15994"
"Mike Gerber","SFG","RF","-1","35+",0.29312425,0.07358263,0.34883721,0.23701731,0.356894041923975,110.76090590928007,0.14971928,2044,3206,"16115"
"Michael Hermosillo","LAA","RF","AAA","40",0.27980922,0.09062003,0.32173913,0.2181146,0.35142583103898245,104.35228430477451,0.1338141,1537,2496,"16285"
"Nick Ciuffo","CIN","C","AAA","35+",0.2673031,0.07159905,0.32342007,0.13246753,0.301124583849759,81.98582889606625,0.1236246,1019,1545,"16291"
"Nick Gordon","MIN","2B","MLB","40",0.19120879,0.05714286,0.31921331,0.12559809,0.3126287601961948,89.7226994457877,0.12210593,2126,3153,"16337"
"Domingo Leyba","ARI","2B","MLB","40",0.14485981,0.07827103,0.31437599,0.17503217,0.3509036156169155,107.68353270753013,0.09531717,1925,3011,"16404"
"Sergio Alcantara","DET","SS","MLB","40",0.18943743,0.10332951,0.32778702,0.05620915,0.30789242107464376,93.03906575594007,0.07464871,2114,3416,"16417"
"Thairo Estrada","NYY","SS","MLB","40",0.19705882,0.04117647,0.28861789,0.15047022,0.2978056516717462,74.50935341633104,0.10925771,789,1199,"16426"
"Jason Martin","PIT","RF","AAA","40",0.20667384,0.07965554,0.32171157,0.1575179,0.33018404557374725,99.73038384364439,0.09985975,2256,3565,"16429"
"Mauricio Dubon","SFG","SS","AAA","45",0.13323124,0.04594181,0.32868526,0.18494272,0.3553626654502408,103.60128404694512,0.10413943,1570,2295,"16530"
"Jason Vosler","SDP","3B","MLB","35+",0.26145833,0.09895833,0.32857143,0.22340426,0.36090082546760294,114.04779810831769,0.11784425,2429,3878,"16686"
"Joshua Fuentes","COL","3B","MLB","40",0.21603128,0.04496579,0.35252809,0.19202518,0.34833129428715365,102.5779748042248,0.13116592,2424,3568,"16885"
"Lane Thomas","STL","CF","AAA","40+",0.24345848,0.09328783,0.31775701,0.21410256,0.3563192506472632,111.76341210407972,0.09012132,2131,3462,"16939"
"Derek Hill","DET","CF","MLB","40",0.28162816,0.07810781,0.32780847,0.12054121,0.3102702866406807,97.3394846550135,0.1397188,2215,3414,"16947"
"Gavin Cecchini","NYM","2B","AAA","35+",0.18666667,0.07333333,0.31775701,0.12592593,0.32180954565937886,99.3723089672883,0.0790546,801,1227,"17005"
"Edmundo Sosa","STL","SS","MLB","40",0.19308943,0.03963415,0.32374101,0.16243094,0.33160852004320196,92.74990851977344,0.14902304,2408,3429,"17022"
"Monte Harrison","MIA","CF","AAA","50",0.34652278,0.08273381,0.36682243,0.1628533,0.331627941088556,101.17900182208885,0.17333735,2096,3323,"17216"
"Jorge Mateo","OAK","CF","MLB","45",0.26394052,0.05390335,0.34236805,0.17165668,0.3153504263887654,80.03096077829922,0.14813883,2713,3976,"17273"
"Alex Jackson","ATL","C","AAA","40+",0.32963989,0.07202216,0.27371274,0.228482,0.32181593008930065,94.46698588446621,0.17201365,1872,2930,"17276"
"Bobby Bradley","CLE","1B","MLB","40",0.3003992,0.10179641,0.29111531,0.2700565,0.35730952768018787,117.09942292040003,0.16517056,2396,3899,"17278"
"Willi Castro","DET","SS","MLB","45",0.20934579,0.06635514,0.3462069,0.14656965,0.339831464507158,104.60361603038791,0.1194459,2563,3826,"17338"
"Kelvin Gutierrez","KCR","3B","MLB","40",0.21309524,0.08452381,0.34042553,0.13060686,0.3364689152155604,99.7629225640616,0.12220149,2015,3216,"17468"
"Troy Stokes Jr.","MIL","LF","AAA","35+",0.25107296,0.12017167,0.29158879,0.17870722,0.33954727604873197,104.26526860006497,0.13503254,2246,3688,"17478"
"Kevin Kramer","PIT","2B","AAA","45",0.24923077,0.08307692,0.36704731,0.1703107,0.3547036530551655,118.13525033123713,0.12724393,2492,3788,"17689"
"Skye Bolt","OAK","CF","AAA","40",0.24799082,0.10907003,0.32755299,0.20421608,0.3556034205003919,111.2450346080364,0.11249293,2164,3538,"17723"
"Chris Shaw","SFG","1B","AAA","40",0.27899344,0.06564551,0.33834586,0.25598086,0.369297129739272,121.11764362898303,0.17506631,2216,3393,"17738"
"Braden Bishop","SEA","CF","AAA","40",0.19085174,0.0977918,0.32938389,0.15495495,0.35229515764448377,110.2597890899849,0.0974611,1491,2442,"17806"
"Drew Jackson","LAD","SS","AAA","35+",0.25658807,0.10540915,0.29468599,0.15772357,0.3247102069553365,91.38330055694514,0.12522171,1728,2819,"17807"
"Luis Alexander Basabe","CHW","CF","AA","45",0.27951807,0.11686747,0.35042735,0.14985994,0.34583960834225697,116.36715773408888,0.11579572,2004,3368,"17839"
